label	metric	value
ilHopAmbi1	covered_sites	15458713
ilHopAmbi1	confident_sites	33819
ilHopAmbi1	pct_confident	0.2188
ilHopAmbi1	clustering_observed	nan
ilHopAmbi1	clustering_null_mean	nan
ilHopAmbi1	clustering_enrichment	nan
ilHopAmbi1	clustering_z	nan
ilHopAmbi1	mito_sites	95
ilHopAmbi1	mito_pct_confident	0.0
ilHopAmbi1	cov0_pct	0.2321
ilHopAmbi1	cov0_n	3877
ilHopAmbi1	cov0_hits	9
ilHopAmbi1	cov10_pct	0.0754
ilHopAmbi1	cov10_n	277135
ilHopAmbi1	cov10_hits	209
ilHopAmbi1	cov20_pct	0.1898
ilHopAmbi1	cov20_n	1693948
ilHopAmbi1	cov20_hits	3215
ilHopAmbi1	cov30_pct	0.2032
ilHopAmbi1	cov30_n	1671128
ilHopAmbi1	cov30_hits	3395
ilHopAmbi1	cov40_pct	0.2015
ilHopAmbi1	cov40_n	2058877
ilHopAmbi1	cov40_hits	4148
ilHopAmbi1	cov50_pct	0.2377
ilHopAmbi1	cov50_n	4738795
ilHopAmbi1	cov50_hits	11264
ilHopAmbi1	cov60_pct	0.2461
ilHopAmbi1	cov60_n	3801049
ilHopAmbi1	cov60_hits	9353
ilHopAmbi1	cov70_pct	0.2059
ilHopAmbi1	cov70_n	993206
ilHopAmbi1	cov70_hits	2045
ilHopAmbi1	cov80_pct	0.1241
ilHopAmbi1	cov80_n	128085
ilHopAmbi1	cov80_hits	159
ilHopAmbi1	cov90_pct	0.0348
ilHopAmbi1	cov90_n	31603
ilHopAmbi1	cov90_hits	11
ilHopAmbi1	cov100_pct	0.0417
ilHopAmbi1	cov100_n	16777
ilHopAmbi1	cov100_hits	7
ilHopAmbi1	cov110_pct	0.0291
ilHopAmbi1	cov110_n	10325
ilHopAmbi1	cov110_hits	3
ilHopAmbi1	cov120_pct	0.0121
ilHopAmbi1	cov120_n	8281
ilHopAmbi1	cov120_hits	1
ilHopAmbi1	cov130_pct	0.0
ilHopAmbi1	cov130_n	5508
ilHopAmbi1	cov130_hits	0
ilHopAmbi1	cov140_pct	0.0
ilHopAmbi1	cov140_n	3832
ilHopAmbi1	cov140_hits	0
ilHopAmbi1	cov150_pct	0.0
ilHopAmbi1	cov150_n	2013
ilHopAmbi1	cov150_hits	0
ilHopAmbi1	cov160_pct	0.0
ilHopAmbi1	cov160_n	1954
ilHopAmbi1	cov160_hits	0
ilHopAmbi1	cov170_pct	0.0
ilHopAmbi1	cov170_n	1879
ilHopAmbi1	cov170_hits	0
ilHopAmbi1	cov180_pct	0.0
ilHopAmbi1	cov180_n	1312
ilHopAmbi1	cov180_hits	0
ilHopAmbi1	cov190_pct	0.0
ilHopAmbi1	cov190_n	1542
ilHopAmbi1	cov190_hits	0
ilHopAmbi1	cov200_pct	0.0
ilHopAmbi1	cov200_n	7587
ilHopAmbi1	cov200_hits	0
