label	metric	value
ilHopBlan1	covered_sites	16581304
ilHopBlan1	confident_sites	39780
ilHopBlan1	pct_confident	0.2399
ilHopBlan1	clustering_observed	nan
ilHopBlan1	clustering_null_mean	nan
ilHopBlan1	clustering_enrichment	nan
ilHopBlan1	clustering_z	nan
ilHopBlan1	mito_sites	95
ilHopBlan1	mito_pct_confident	0.0
ilHopBlan1	cov0_pct	0.6803
ilHopBlan1	cov0_n	4410
ilHopBlan1	cov0_hits	30
ilHopBlan1	cov10_pct	0.203
ilHopBlan1	cov10_n	36451
ilHopBlan1	cov10_hits	74
ilHopBlan1	cov20_pct	0.2345
ilHopBlan1	cov20_n	717696
ilHopBlan1	cov20_hits	1683
ilHopBlan1	cov30_pct	0.197
ilHopBlan1	cov30_n	2176591
ilHopBlan1	cov30_hits	4288
ilHopBlan1	cov40_pct	0.182
ilHopBlan1	cov40_n	1751846
ilHopBlan1	cov40_hits	3188
ilHopBlan1	cov50_pct	0.259
ilHopBlan1	cov50_n	2641636
ilHopBlan1	cov50_hits	6843
ilHopBlan1	cov60_pct	0.2733
ilHopBlan1	cov60_n	4338386
ilHopBlan1	cov60_hits	11855
ilHopBlan1	cov70_pct	0.2631
ilHopBlan1	cov70_n	3291624
ilHopBlan1	cov70_hits	8661
ilHopBlan1	cov80_pct	0.2315
ilHopBlan1	cov80_n	1146827
ilHopBlan1	cov80_hits	2655
ilHopBlan1	cov90_pct	0.1535
ilHopBlan1	cov90_n	256709
ilHopBlan1	cov90_hits	394
ilHopBlan1	cov100_pct	0.1055
ilHopBlan1	cov100_n	74867
ilHopBlan1	cov100_hits	79
ilHopBlan1	cov110_pct	0.0678
ilHopBlan1	cov110_n	35408
ilHopBlan1	cov110_hits	24
ilHopBlan1	cov120_pct	0.0171
ilHopBlan1	cov120_n	23412
ilHopBlan1	cov120_hits	4
ilHopBlan1	cov130_pct	0.0063
ilHopBlan1	cov130_n	15994
ilHopBlan1	cov130_hits	1
ilHopBlan1	cov140_pct	0.0
ilHopBlan1	cov140_n	13705
ilHopBlan1	cov140_hits	0
ilHopBlan1	cov150_pct	0.0
ilHopBlan1	cov150_n	8904
ilHopBlan1	cov150_hits	0
ilHopBlan1	cov160_pct	0.0
ilHopBlan1	cov160_n	7653
ilHopBlan1	cov160_hits	0
ilHopBlan1	cov170_pct	0.0
ilHopBlan1	cov170_n	7099
ilHopBlan1	cov170_hits	0
ilHopBlan1	cov180_pct	0.0
ilHopBlan1	cov180_n	6365
ilHopBlan1	cov180_hits	0
ilHopBlan1	cov190_pct	0.0237
ilHopBlan1	cov190_n	4211
ilHopBlan1	cov190_hits	1
ilHopBlan1	cov200_pct	0.0
ilHopBlan1	cov200_n	21510
ilHopBlan1	cov200_hits	0
