label	metric	value
ilHypRect1	covered_sites	21084567
ilHypRect1	confident_sites	55016
ilHypRect1	pct_confident	0.2609
ilHypRect1	clustering_observed	nan
ilHypRect1	clustering_null_mean	nan
ilHypRect1	clustering_enrichment	nan
ilHypRect1	clustering_z	nan
ilHypRect1	mito_sites	96
ilHypRect1	mito_pct_confident	0.0
ilHypRect1	cov0_pct	0.2927
ilHypRect1	cov0_n	46125
ilHypRect1	cov0_hits	135
ilHypRect1	cov10_pct	0.1685
ilHypRect1	cov10_n	1533680
ilHypRect1	cov10_hits	2585
ilHypRect1	cov20_pct	0.1884
ilHypRect1	cov20_n	3589421
ilHypRect1	cov20_hits	6761
ilHypRect1	cov30_pct	0.286
ilHypRect1	cov30_n	9147636
ilHypRect1	cov30_hits	26159
ilHypRect1	cov40_pct	0.3048
ilHypRect1	cov40_n	5710740
ilHypRect1	cov40_hits	17404
ilHypRect1	cov50_pct	0.2285
ilHypRect1	cov50_n	795726
ilHypRect1	cov50_hits	1818
ilHypRect1	cov60_pct	0.0966
ilHypRect1	cov60_n	116935
ilHypRect1	cov60_hits	113
ilHypRect1	cov70_pct	0.0342
ilHypRect1	cov70_n	52687
ilHypRect1	cov70_hits	18
ilHypRect1	cov80_pct	0.0299
ilHypRect1	cov80_n	30136
ilHypRect1	cov80_hits	9
ilHypRect1	cov90_pct	0.0334
ilHypRect1	cov90_n	17959
ilHypRect1	cov90_hits	6
ilHypRect1	cov100_pct	0.025
ilHypRect1	cov100_n	11991
ilHypRect1	cov100_hits	3
ilHypRect1	cov110_pct	0.0
ilHypRect1	cov110_n	7829
ilHypRect1	cov110_hits	0
ilHypRect1	cov120_pct	0.0566
ilHypRect1	cov120_n	5299
ilHypRect1	cov120_hits	3
ilHypRect1	cov130_pct	0.0527
ilHypRect1	cov130_n	3793
ilHypRect1	cov130_hits	2
ilHypRect1	cov140_pct	0.0
ilHypRect1	cov140_n	2185
ilHypRect1	cov140_hits	0
ilHypRect1	cov150_pct	0.0
ilHypRect1	cov150_n	1933
ilHypRect1	cov150_hits	0
ilHypRect1	cov160_pct	0.0
ilHypRect1	cov160_n	1914
ilHypRect1	cov160_hits	0
ilHypRect1	cov170_pct	0.0
ilHypRect1	cov170_n	1759
ilHypRect1	cov170_hits	0
ilHypRect1	cov180_pct	0.0
ilHypRect1	cov180_n	1001
ilHypRect1	cov180_hits	0
ilHypRect1	cov190_pct	0.0
ilHypRect1	cov190_n	1031
ilHypRect1	cov190_hits	0
ilHypRect1	cov200_pct	0.0
ilHypRect1	cov200_n	4787
ilHypRect1	cov200_hits	0
