label	metric	value
ilLacOler1	covered_sites	33381794
ilLacOler1	confident_sites	61340
ilLacOler1	pct_confident	0.1838
ilLacOler1	clustering_observed	nan
ilLacOler1	clustering_null_mean	nan
ilLacOler1	clustering_enrichment	nan
ilLacOler1	clustering_z	nan
ilLacOler1	mito_sites	92
ilLacOler1	mito_pct_confident	0.0
ilLacOler1	cov0_pct	0.4149
ilLacOler1	cov0_n	441089
ilLacOler1	cov0_hits	1830
ilLacOler1	cov10_pct	0.1447
ilLacOler1	cov10_n	6166000
ilLacOler1	cov10_hits	8922
ilLacOler1	cov20_pct	0.1771
ilLacOler1	cov20_n	10059279
ilLacOler1	cov20_hits	17818
ilLacOler1	cov30_pct	0.2157
ilLacOler1	cov30_n	12566798
ilLacOler1	cov30_hits	27101
ilLacOler1	cov40_pct	0.1754
ilLacOler1	cov40_n	3093768
ilLacOler1	cov40_hits	5425
ilLacOler1	cov50_pct	0.0472
ilLacOler1	cov50_n	449020
ilLacOler1	cov50_hits	212
ilLacOler1	cov60_pct	0.0081
ilLacOler1	cov60_n	197237
ilLacOler1	cov60_hits	16
ilLacOler1	cov70_pct	0.0059
ilLacOler1	cov70_n	118095
ilLacOler1	cov70_hits	7
ilLacOler1	cov80_pct	0.0027
ilLacOler1	cov80_n	73246
ilLacOler1	cov80_hits	2
ilLacOler1	cov90_pct	0.0
ilLacOler1	cov90_n	50891
ilLacOler1	cov90_hits	0
ilLacOler1	cov100_pct	0.0027
ilLacOler1	cov100_n	37340
ilLacOler1	cov100_hits	1
ilLacOler1	cov110_pct	0.0074
ilLacOler1	cov110_n	27102
ilLacOler1	cov110_hits	2
ilLacOler1	cov120_pct	0.0097
ilLacOler1	cov120_n	20711
ilLacOler1	cov120_hits	2
ilLacOler1	cov130_pct	0.0
ilLacOler1	cov130_n	16895
ilLacOler1	cov130_hits	0
ilLacOler1	cov140_pct	0.0073
ilLacOler1	cov140_n	13621
ilLacOler1	cov140_hits	1
ilLacOler1	cov150_pct	0.0
ilLacOler1	cov150_n	9283
ilLacOler1	cov150_hits	0
ilLacOler1	cov160_pct	0.0
ilLacOler1	cov160_n	6673
ilLacOler1	cov160_hits	0
ilLacOler1	cov170_pct	0.0
ilLacOler1	cov170_n	5587
ilLacOler1	cov170_hits	0
ilLacOler1	cov180_pct	0.0
ilLacOler1	cov180_n	4043
ilLacOler1	cov180_hits	0
ilLacOler1	cov190_pct	0.0
ilLacOler1	cov190_n	3679
ilLacOler1	cov190_hits	0
ilLacOler1	cov200_pct	0.0047
ilLacOler1	cov200_n	21437
ilLacOler1	cov200_hits	1
