label	metric	value
ilLitLeau1	covered_sites	19196723
ilLitLeau1	confident_sites	39726
ilLitLeau1	pct_confident	0.2069
ilLitLeau1	clustering_observed	nan
ilLitLeau1	clustering_null_mean	nan
ilLitLeau1	clustering_enrichment	nan
ilLitLeau1	clustering_z	nan
ilLitLeau1	mito_sites	110
ilLitLeau1	mito_pct_confident	0.0
ilLitLeau1	cov0_pct	0.0758
ilLitLeau1	cov0_n	7914
ilLitLeau1	cov0_hits	6
ilLitLeau1	cov10_pct	0.1518
ilLitLeau1	cov10_n	64561
ilLitLeau1	cov10_hits	98
ilLitLeau1	cov20_pct	0.1687
ilLitLeau1	cov20_n	708917
ilLitLeau1	cov20_hits	1196
ilLitLeau1	cov30_pct	0.1661
ilLitLeau1	cov30_n	1072117
ilLitLeau1	cov30_hits	1781
ilLitLeau1	cov40_pct	0.2471
ilLitLeau1	cov40_n	2578646
ilLitLeau1	cov40_hits	6373
ilLitLeau1	cov50_pct	0.2225
ilLitLeau1	cov50_n	6989423
ilLitLeau1	cov50_hits	15548
ilLitLeau1	cov60_pct	0.2063
ilLitLeau1	cov60_n	5827062
ilLitLeau1	cov60_hits	12024
ilLitLeau1	cov70_pct	0.1527
ilLitLeau1	cov70_n	1622815
ilLitLeau1	cov70_hits	2478
ilLitLeau1	cov80_pct	0.1019
ilLitLeau1	cov80_n	203134
ilLitLeau1	cov80_hits	207
ilLitLeau1	cov90_pct	0.0067
ilLitLeau1	cov90_n	44957
ilLitLeau1	cov90_hits	3
ilLitLeau1	cov100_pct	0.0211
ilLitLeau1	cov100_n	23648
ilLitLeau1	cov100_hits	5
ilLitLeau1	cov110_pct	0.046
ilLitLeau1	cov110_n	13039
ilLitLeau1	cov110_hits	6
ilLitLeau1	cov120_pct	0.0
ilLitLeau1	cov120_n	8794
ilLitLeau1	cov120_hits	0
ilLitLeau1	cov130_pct	0.0
ilLitLeau1	cov130_n	6897
ilLitLeau1	cov130_hits	0
ilLitLeau1	cov140_pct	0.0
ilLitLeau1	cov140_n	4546
ilLitLeau1	cov140_hits	0
ilLitLeau1	cov150_pct	0.0325
ilLitLeau1	cov150_n	3075
ilLitLeau1	cov150_hits	1
ilLitLeau1	cov160_pct	0.0
ilLitLeau1	cov160_n	2027
ilLitLeau1	cov160_hits	0
ilLitLeau1	cov170_pct	0.0
ilLitLeau1	cov170_n	1319
ilLitLeau1	cov170_hits	0
ilLitLeau1	cov180_pct	0.0
ilLitLeau1	cov180_n	1444
ilLitLeau1	cov180_hits	0
ilLitLeau1	cov190_pct	0.0
ilLitLeau1	cov190_n	1718
ilLitLeau1	cov190_hits	0
ilLitLeau1	cov200_pct	0.0
ilLitLeau1	cov200_n	10670
ilLitLeau1	cov200_hits	0
