label	metric	value
ilLitOrni1	covered_sites	18651878
ilLitOrni1	confident_sites	38460
ilLitOrni1	pct_confident	0.2062
ilLitOrni1	clustering_observed	nan
ilLitOrni1	clustering_null_mean	nan
ilLitOrni1	clustering_enrichment	nan
ilLitOrni1	clustering_z	nan
ilLitOrni1	mito_sites	89
ilLitOrni1	mito_pct_confident	0.0
ilLitOrni1	cov0_pct	0.3161
ilLitOrni1	cov0_n	3480
ilLitOrni1	cov0_hits	11
ilLitOrni1	cov10_pct	0.102
ilLitOrni1	cov10_n	49026
ilLitOrni1	cov10_hits	50
ilLitOrni1	cov20_pct	0.1156
ilLitOrni1	cov20_n	678473
ilLitOrni1	cov20_hits	784
ilLitOrni1	cov30_pct	0.1208
ilLitOrni1	cov30_n	984847
ilLitOrni1	cov30_hits	1190
ilLitOrni1	cov40_pct	0.1842
ilLitOrni1	cov40_n	2064818
ilLitOrni1	cov40_hits	3803
ilLitOrni1	cov50_pct	0.214
ilLitOrni1	cov50_n	6563972
ilLitOrni1	cov50_hits	14050
ilLitOrni1	cov60_pct	0.2305
ilLitOrni1	cov60_n	6139410
ilLitOrni1	cov60_hits	14149
ilLitOrni1	cov70_pct	0.2267
ilLitOrni1	cov70_n	1792433
ilLitOrni1	cov70_hits	4064
ilLitOrni1	cov80_pct	0.1456
ilLitOrni1	cov80_n	226035
ilLitOrni1	cov80_hits	329
ilLitOrni1	cov90_pct	0.0352
ilLitOrni1	cov90_n	51199
ilLitOrni1	cov90_hits	18
ilLitOrni1	cov100_pct	0.01
ilLitOrni1	cov100_n	29868
ilLitOrni1	cov100_hits	3
ilLitOrni1	cov110_pct	0.0177
ilLitOrni1	cov110_n	16946
ilLitOrni1	cov110_hits	3
ilLitOrni1	cov120_pct	0.0334
ilLitOrni1	cov120_n	11991
ilLitOrni1	cov120_hits	4
ilLitOrni1	cov130_pct	0.0
ilLitOrni1	cov130_n	8133
ilLitOrni1	cov130_hits	0
ilLitOrni1	cov140_pct	0.0
ilLitOrni1	cov140_n	5396
ilLitOrni1	cov140_hits	0
ilLitOrni1	cov150_pct	0.0
ilLitOrni1	cov150_n	3640
ilLitOrni1	cov150_hits	0
ilLitOrni1	cov160_pct	0.0
ilLitOrni1	cov160_n	3254
ilLitOrni1	cov160_hits	0
ilLitOrni1	cov170_pct	0.0
ilLitOrni1	cov170_n	2036
ilLitOrni1	cov170_hits	0
ilLitOrni1	cov180_pct	0.0698
ilLitOrni1	cov180_n	2865
ilLitOrni1	cov180_hits	2
ilLitOrni1	cov190_pct	0.0
ilLitOrni1	cov190_n	1175
ilLitOrni1	cov190_hits	0
ilLitOrni1	cov200_pct	0.0
ilLitOrni1	cov200_n	12881
ilLitOrni1	cov200_hits	0
