label	metric	value
ilLitSoci1	covered_sites	18113168
ilLitSoci1	confident_sites	33984
ilLitSoci1	pct_confident	0.1876
ilLitSoci1	clustering_observed	nan
ilLitSoci1	clustering_null_mean	nan
ilLitSoci1	clustering_enrichment	nan
ilLitSoci1	clustering_z	nan
ilLitSoci1	mito_sites	93
ilLitSoci1	mito_pct_confident	0.0
ilLitSoci1	cov0_pct	0.3908
ilLitSoci1	cov0_n	8700
ilLitSoci1	cov0_hits	34
ilLitSoci1	cov10_pct	0.0863
ilLitSoci1	cov10_n	62592
ilLitSoci1	cov10_hits	54
ilLitSoci1	cov20_pct	0.1297
ilLitSoci1	cov20_n	713787
ilLitSoci1	cov20_hits	926
ilLitSoci1	cov30_pct	0.119
ilLitSoci1	cov30_n	1110541
ilLitSoci1	cov30_hits	1322
ilLitSoci1	cov40_pct	0.1647
ilLitSoci1	cov40_n	1753148
ilLitSoci1	cov40_hits	2888
ilLitSoci1	cov50_pct	0.2013
ilLitSoci1	cov50_n	5720303
ilLitSoci1	cov50_hits	11515
ilLitSoci1	cov60_pct	0.2038
ilLitSoci1	cov60_n	6206217
ilLitSoci1	cov60_hits	12650
ilLitSoci1	cov70_pct	0.1921
ilLitSoci1	cov70_n	2093473
ilLitSoci1	cov70_hits	4022
ilLitSoci1	cov80_pct	0.1862
ilLitSoci1	cov80_n	290479
ilLitSoci1	cov80_hits	541
ilLitSoci1	cov90_pct	0.0387
ilLitSoci1	cov90_n	59426
ilLitSoci1	cov90_hits	23
ilLitSoci1	cov100_pct	0.0109
ilLitSoci1	cov100_n	27627
ilLitSoci1	cov100_hits	3
ilLitSoci1	cov110_pct	0.0
ilLitSoci1	cov110_n	17645
ilLitSoci1	cov110_hits	0
ilLitSoci1	cov120_pct	0.0178
ilLitSoci1	cov120_n	11239
ilLitSoci1	cov120_hits	2
ilLitSoci1	cov130_pct	0.0
ilLitSoci1	cov130_n	7609
ilLitSoci1	cov130_hits	0
ilLitSoci1	cov140_pct	0.0
ilLitSoci1	cov140_n	6136
ilLitSoci1	cov140_hits	0
ilLitSoci1	cov150_pct	0.0
ilLitSoci1	cov150_n	4735
ilLitSoci1	cov150_hits	0
ilLitSoci1	cov160_pct	0.152
ilLitSoci1	cov160_n	2632
ilLitSoci1	cov160_hits	4
ilLitSoci1	cov170_pct	0.0
ilLitSoci1	cov170_n	2807
ilLitSoci1	cov170_hits	0
ilLitSoci1	cov180_pct	0.0
ilLitSoci1	cov180_n	2320
ilLitSoci1	cov180_hits	0
ilLitSoci1	cov190_pct	0.0
ilLitSoci1	cov190_n	2141
ilLitSoci1	cov190_hits	0
ilLitSoci1	cov200_pct	0.0
ilLitSoci1	cov200_n	9611
ilLitSoci1	cov200_hits	0
