label	metric	value
ilNocJanh1	covered_sites	20365474
ilNocJanh1	confident_sites	59006
ilNocJanh1	pct_confident	0.2897
ilNocJanh1	clustering_observed	nan
ilNocJanh1	clustering_null_mean	nan
ilNocJanh1	clustering_enrichment	nan
ilNocJanh1	clustering_z	nan
ilNocJanh1	mito_sites	98
ilNocJanh1	mito_pct_confident	0.0
ilNocJanh1	cov0_pct	0.9564
ilNocJanh1	cov0_n	3346
ilNocJanh1	cov0_hits	32
ilNocJanh1	cov10_pct	0.3058
ilNocJanh1	cov10_n	26819
ilNocJanh1	cov10_hits	82
ilNocJanh1	cov20_pct	0.1859
ilNocJanh1	cov20_n	328048
ilNocJanh1	cov20_hits	610
ilNocJanh1	cov30_pct	0.1558
ilNocJanh1	cov30_n	1181339
ilNocJanh1	cov30_hits	1840
ilNocJanh1	cov40_pct	0.1542
ilNocJanh1	cov40_n	1022653
ilNocJanh1	cov40_hits	1577
ilNocJanh1	cov50_pct	0.3156
ilNocJanh1	cov50_n	2055519
ilNocJanh1	cov50_hits	6488
ilNocJanh1	cov60_pct	0.337
ilNocJanh1	cov60_n	5797323
ilNocJanh1	cov60_hits	19537
ilNocJanh1	cov70_pct	0.3092
ilNocJanh1	cov70_n	6384348
ilNocJanh1	cov70_hits	19742
ilNocJanh1	cov80_pct	0.2877
ilNocJanh1	cov80_n	2692280
ilNocJanh1	cov80_hits	7747
ilNocJanh1	cov90_pct	0.2194
ilNocJanh1	cov90_n	536831
ilNocJanh1	cov90_hits	1178
ilNocJanh1	cov100_pct	0.0869
ilNocJanh1	cov100_n	112812
ilNocJanh1	cov100_hits	98
ilNocJanh1	cov110_pct	0.0419
ilNocJanh1	cov110_n	59730
ilNocJanh1	cov110_hits	25
ilNocJanh1	cov120_pct	0.0259
ilNocJanh1	cov120_n	34762
ilNocJanh1	cov120_hits	9
ilNocJanh1	cov130_pct	0.028
ilNocJanh1	cov130_n	28613
ilNocJanh1	cov130_hits	8
ilNocJanh1	cov140_pct	0.0445
ilNocJanh1	cov140_n	20204
ilNocJanh1	cov140_hits	9
ilNocJanh1	cov150_pct	0.0069
ilNocJanh1	cov150_n	14453
ilNocJanh1	cov150_hits	1
ilNocJanh1	cov160_pct	0.0198
ilNocJanh1	cov160_n	10094
ilNocJanh1	cov160_hits	2
ilNocJanh1	cov170_pct	0.0218
ilNocJanh1	cov170_n	9161
ilNocJanh1	cov170_hits	2
ilNocJanh1	cov180_pct	0.0965
ilNocJanh1	cov180_n	7255
ilNocJanh1	cov180_hits	7
ilNocJanh1	cov190_pct	0.1941
ilNocJanh1	cov190_n	5667
ilNocJanh1	cov190_hits	11
ilNocJanh1	cov200_pct	0.0029
ilNocJanh1	cov200_n	34217
ilNocJanh1	cov200_hits	1
