label	metric	value
ilPluFest1	covered_sites	14377062
ilPluFest1	confident_sites	31933
ilPluFest1	pct_confident	0.2221
ilPluFest1	clustering_observed	nan
ilPluFest1	clustering_null_mean	nan
ilPluFest1	clustering_enrichment	nan
ilPluFest1	clustering_z	nan
ilPluFest1	mito_sites	98
ilPluFest1	mito_pct_confident	0.0
ilPluFest1	cov0_pct	0.3452
ilPluFest1	cov0_n	5504
ilPluFest1	cov0_hits	19
ilPluFest1	cov10_pct	0.0741
ilPluFest1	cov10_n	48576
ilPluFest1	cov10_hits	36
ilPluFest1	cov20_pct	0.2094
ilPluFest1	cov20_n	639530
ilPluFest1	cov20_hits	1339
ilPluFest1	cov30_pct	0.184
ilPluFest1	cov30_n	1738641
ilPluFest1	cov30_hits	3199
ilPluFest1	cov40_pct	0.1634
ilPluFest1	cov40_n	1472647
ilPluFest1	cov40_hits	2406
ilPluFest1	cov50_pct	0.2202
ilPluFest1	cov50_n	2706634
ilPluFest1	cov50_hits	5961
ilPluFest1	cov60_pct	0.2602
ilPluFest1	cov60_n	4253963
ilPluFest1	cov60_hits	11069
ilPluFest1	cov70_pct	0.25
ilPluFest1	cov70_n	2608519
ilPluFest1	cov70_hits	6521
ilPluFest1	cov80_pct	0.1927
ilPluFest1	cov80_n	619110
ilPluFest1	cov80_hits	1193
ilPluFest1	cov90_pct	0.1345
ilPluFest1	cov90_n	103309
ilPluFest1	cov90_hits	139
ilPluFest1	cov100_pct	0.0441
ilPluFest1	cov100_n	45402
ilPluFest1	cov100_hits	20
ilPluFest1	cov110_pct	0.0134
ilPluFest1	cov110_n	29856
ilPluFest1	cov110_hits	4
ilPluFest1	cov120_pct	0.0323
ilPluFest1	cov120_n	21667
ilPluFest1	cov120_hits	7
ilPluFest1	cov130_pct	0.0362
ilPluFest1	cov130_n	19328
ilPluFest1	cov130_hits	7
ilPluFest1	cov140_pct	0.0333
ilPluFest1	cov140_n	15017
ilPluFest1	cov140_hits	5
ilPluFest1	cov150_pct	0.0
ilPluFest1	cov150_n	10412
ilPluFest1	cov150_hits	0
ilPluFest1	cov160_pct	0.014
ilPluFest1	cov160_n	7120
ilPluFest1	cov160_hits	1
ilPluFest1	cov170_pct	0.0
ilPluFest1	cov170_n	5764
ilPluFest1	cov170_hits	0
ilPluFest1	cov180_pct	0.0
ilPluFest1	cov180_n	4924
ilPluFest1	cov180_hits	0
ilPluFest1	cov190_pct	0.0
ilPluFest1	cov190_n	3667
ilPluFest1	cov190_hits	0
ilPluFest1	cov200_pct	0.0401
ilPluFest1	cov200_n	17472
ilPluFest1	cov200_hits	7
