label	metric	value
ilPolLich1	covered_sites	27090172
ilPolLich1	confident_sites	60572
ilPolLich1	pct_confident	0.2236
ilPolLich1	clustering_observed	nan
ilPolLich1	clustering_null_mean	nan
ilPolLich1	clustering_enrichment	nan
ilPolLich1	clustering_z	nan
ilPolLich1	mito_sites	97
ilPolLich1	mito_pct_confident	0.0
ilPolLich1	cov0_pct	0.3971
ilPolLich1	cov0_n	30721
ilPolLich1	cov0_hits	122
ilPolLich1	cov10_pct	0.1827
ilPolLich1	cov10_n	985097
ilPolLich1	cov10_hits	1800
ilPolLich1	cov20_pct	0.1927
ilPolLich1	cov20_n	2844015
ilPolLich1	cov20_hits	5479
ilPolLich1	cov30_pct	0.2442
ilPolLich1	cov30_n	8926738
ilPolLich1	cov30_hits	21797
ilPolLich1	cov40_pct	0.2302
ilPolLich1	cov40_n	10702935
ilPolLich1	cov40_hits	24641
ilPolLich1	cov50_pct	0.2032
ilPolLich1	cov50_n	3005308
ilPolLich1	cov50_hits	6107
ilPolLich1	cov60_pct	0.1341
ilPolLich1	cov60_n	372160
ilPolLich1	cov60_hits	499
ilPolLich1	cov70_pct	0.0892
ilPolLich1	cov70_n	95278
ilPolLich1	cov70_hits	85
ilPolLich1	cov80_pct	0.0495
ilPolLich1	cov80_n	46424
ilPolLich1	cov80_hits	23
ilPolLich1	cov90_pct	0.025
ilPolLich1	cov90_n	24035
ilPolLich1	cov90_hits	6
ilPolLich1	cov100_pct	0.0067
ilPolLich1	cov100_n	14917
ilPolLich1	cov100_hits	1
ilPolLich1	cov110_pct	0.0113
ilPolLich1	cov110_n	8855
ilPolLich1	cov110_hits	1
ilPolLich1	cov120_pct	0.0827
ilPolLich1	cov120_n	6045
ilPolLich1	cov120_hits	5
ilPolLich1	cov130_pct	0.1365
ilPolLich1	cov130_n	4394
ilPolLich1	cov130_hits	6
ilPolLich1	cov140_pct	0.0
ilPolLich1	cov140_n	2786
ilPolLich1	cov140_hits	0
ilPolLich1	cov150_pct	0.0
ilPolLich1	cov150_n	1766
ilPolLich1	cov150_hits	0
ilPolLich1	cov170_pct	0.0
ilPolLich1	cov170_n	1363
ilPolLich1	cov170_hits	0
ilPolLich1	cov180_pct	0.0
ilPolLich1	cov180_n	1052
ilPolLich1	cov180_hits	0
ilPolLich1	cov200_pct	0.0
ilPolLich1	cov200_n	14608
ilPolLich1	cov200_hits	0
