label	metric	value
ilPolNebu2	covered_sites	39125404
ilPolNebu2	confident_sites	105650
ilPolNebu2	pct_confident	0.27
ilPolNebu2	clustering_observed	nan
ilPolNebu2	clustering_null_mean	nan
ilPolNebu2	clustering_enrichment	nan
ilPolNebu2	clustering_z	nan
ilPolNebu2	mito_sites	97
ilPolNebu2	mito_pct_confident	0.0
ilPolNebu2	cov0_pct	0.4262
ilPolNebu2	cov0_n	1116796
ilPolNebu2	cov0_hits	4760
ilPolNebu2	cov10_pct	0.24
ilPolNebu2	cov10_n	10618759
ilPolNebu2	cov10_hits	25480
ilPolNebu2	cov20_pct	0.289
ilPolNebu2	cov20_n	21102129
ilPolNebu2	cov20_hits	60995
ilPolNebu2	cov30_pct	0.2563
ilPolNebu2	cov30_n	5396774
ilPolNebu2	cov30_hits	13830
ilPolNebu2	cov40_pct	0.0892
ilPolNebu2	cov40_n	484034
ilPolNebu2	cov40_hits	432
ilPolNebu2	cov50_pct	0.0299
ilPolNebu2	cov50_n	160583
ilPolNebu2	cov50_hits	48
ilPolNebu2	cov60_pct	0.0337
ilPolNebu2	cov60_n	80232
ilPolNebu2	cov60_hits	27
ilPolNebu2	cov70_pct	0.0228
ilPolNebu2	cov70_n	43931
ilPolNebu2	cov70_hits	10
ilPolNebu2	cov80_pct	0.0135
ilPolNebu2	cov80_n	29553
ilPolNebu2	cov80_hits	4
ilPolNebu2	cov90_pct	0.0108
ilPolNebu2	cov90_n	18551
ilPolNebu2	cov90_hits	2
ilPolNebu2	cov100_pct	0.1386
ilPolNebu2	cov100_n	13709
ilPolNebu2	cov100_hits	19
ilPolNebu2	cov110_pct	0.0097
ilPolNebu2	cov110_n	10283
ilPolNebu2	cov110_hits	1
ilPolNebu2	cov120_pct	0.0116
ilPolNebu2	cov120_n	8646
ilPolNebu2	cov120_hits	1
ilPolNebu2	cov130_pct	0.0972
ilPolNebu2	cov130_n	7199
ilPolNebu2	cov130_hits	7
ilPolNebu2	cov140_pct	0.0809
ilPolNebu2	cov140_n	4946
ilPolNebu2	cov140_hits	4
ilPolNebu2	cov150_pct	0.0612
ilPolNebu2	cov150_n	4904
ilPolNebu2	cov150_hits	3
ilPolNebu2	cov160_pct	0.0
ilPolNebu2	cov160_n	3520
ilPolNebu2	cov160_hits	0
ilPolNebu2	cov170_pct	0.0
ilPolNebu2	cov170_n	2944
ilPolNebu2	cov170_hits	0
ilPolNebu2	cov180_pct	0.0399
ilPolNebu2	cov180_n	2509
ilPolNebu2	cov180_hits	1
ilPolNebu2	cov190_pct	0.3935
ilPolNebu2	cov190_n	1779
ilPolNebu2	cov190_hits	7
ilPolNebu2	cov200_pct	0.1395
ilPolNebu2	cov200_n	13623
ilPolNebu2	cov200_hits	19
