label	metric	value
ilPyrUmbr1	covered_sites	15229027
ilPyrUmbr1	confident_sites	74093
ilPyrUmbr1	pct_confident	0.4865
ilPyrUmbr1	clustering_observed	nan
ilPyrUmbr1	clustering_null_mean	nan
ilPyrUmbr1	clustering_enrichment	nan
ilPyrUmbr1	clustering_z	nan
ilPyrUmbr1	mito_sites	94
ilPyrUmbr1	mito_pct_confident	0.0
ilPyrUmbr1	cov0_pct	2.9538
ilPyrUmbr1	cov0_n	37342
ilPyrUmbr1	cov0_hits	1103
ilPyrUmbr1	cov10_pct	0.798
ilPyrUmbr1	cov10_n	1380120
ilPyrUmbr1	cov10_hits	11013
ilPyrUmbr1	cov20_pct	0.5281
ilPyrUmbr1	cov20_n	3128104
ilPyrUmbr1	cov20_hits	16520
ilPyrUmbr1	cov30_pct	0.4319
ilPyrUmbr1	cov30_n	3862898
ilPyrUmbr1	cov30_hits	16682
ilPyrUmbr1	cov40_pct	0.435
ilPyrUmbr1	cov40_n	4932315
ilPyrUmbr1	cov40_hits	21457
ilPyrUmbr1	cov50_pct	0.4285
ilPyrUmbr1	cov50_n	1540053
ilPyrUmbr1	cov50_hits	6599
ilPyrUmbr1	cov60_pct	0.2809
ilPyrUmbr1	cov60_n	183697
ilPyrUmbr1	cov60_hits	516
ilPyrUmbr1	cov70_pct	0.1268
ilPyrUmbr1	cov70_n	49666
ilPyrUmbr1	cov70_hits	63
ilPyrUmbr1	cov80_pct	0.1859
ilPyrUmbr1	cov80_n	32277
ilPyrUmbr1	cov80_hits	60
ilPyrUmbr1	cov90_pct	0.0874
ilPyrUmbr1	cov90_n	19460
ilPyrUmbr1	cov90_hits	17
ilPyrUmbr1	cov100_pct	0.0838
ilPyrUmbr1	cov100_n	14325
ilPyrUmbr1	cov100_hits	12
ilPyrUmbr1	cov110_pct	0.0399
ilPyrUmbr1	cov110_n	10018
ilPyrUmbr1	cov110_hits	4
ilPyrUmbr1	cov120_pct	0.1808
ilPyrUmbr1	cov120_n	7190
ilPyrUmbr1	cov120_hits	13
ilPyrUmbr1	cov130_pct	0.1211
ilPyrUmbr1	cov130_n	4955
ilPyrUmbr1	cov130_hits	6
ilPyrUmbr1	cov140_pct	0.0889
ilPyrUmbr1	cov140_n	4497
ilPyrUmbr1	cov140_hits	4
ilPyrUmbr1	cov150_pct	0.0371
ilPyrUmbr1	cov150_n	2696
ilPyrUmbr1	cov150_hits	1
ilPyrUmbr1	cov160_pct	0.0414
ilPyrUmbr1	cov160_n	2417
ilPyrUmbr1	cov160_hits	1
ilPyrUmbr1	cov170_pct	0.2875
ilPyrUmbr1	cov170_n	1739
ilPyrUmbr1	cov170_hits	5
ilPyrUmbr1	cov180_pct	0.1118
ilPyrUmbr1	cov180_n	1789
ilPyrUmbr1	cov180_hits	2
ilPyrUmbr1	cov190_pct	0.3864
ilPyrUmbr1	cov190_n	1294
ilPyrUmbr1	cov190_hits	5
ilPyrUmbr1	cov200_pct	0.0821
ilPyrUmbr1	cov200_n	12175
ilPyrUmbr1	cov200_hits	10
