label	metric	value
xylo	covered_sites	61749699
xylo	confident_sites	87305
xylo	pct_confident	0.1414
xylo	clustering_observed	nan
xylo	clustering_null_mean	nan
xylo	clustering_enrichment	nan
xylo	clustering_z	nan
xylo	cov0_pct	0.0882
xylo	cov0_n	3382881
xylo	cov0_hits	2983
xylo	cov10_pct	0.0076
xylo	cov10_n	29916261
xylo	cov10_hits	2285
xylo	cov20_pct	0.1938
xylo	cov20_n	12798058
xylo	cov20_hits	24805
xylo	cov30_pct	0.415
xylo	cov30_n	10842715
xylo	cov30_hits	45000
xylo	cov40_pct	0.2958
xylo	cov40_n	3924068
xylo	cov40_hits	11607
xylo	cov50_pct	0.1269
xylo	cov50_n	492590
xylo	cov50_hits	625
xylo	cov60_pct	0.0
xylo	cov60_n	152342
xylo	cov60_hits	0
xylo	cov70_pct	0.0
xylo	cov70_n	83528
xylo	cov70_hits	0
xylo	cov80_pct	0.0
xylo	cov80_n	51242
xylo	cov80_hits	0
xylo	cov90_pct	0.0
xylo	cov90_n	28367
xylo	cov90_hits	0
xylo	cov100_pct	0.0
xylo	cov100_n	17239
xylo	cov100_hits	0
xylo	cov110_pct	0.0
xylo	cov110_n	12739
xylo	cov110_hits	0
xylo	cov120_pct	0.0
xylo	cov120_n	8845
xylo	cov120_hits	0
xylo	cov130_pct	0.0
xylo	cov130_n	7615
xylo	cov130_hits	0
xylo	cov140_pct	0.0
xylo	cov140_n	6823
xylo	cov140_hits	0
xylo	cov150_pct	0.0
xylo	cov150_n	3777
xylo	cov150_hits	0
xylo	cov160_pct	0.0
xylo	cov160_n	2844
xylo	cov160_hits	0
xylo	cov170_pct	0.0
xylo	cov170_n	2118
xylo	cov170_hits	0
xylo	cov180_pct	0.0
xylo	cov180_n	1827
xylo	cov180_hits	0
xylo	cov190_pct	0.0
xylo	cov190_n	1892
xylo	cov190_hits	0
xylo	cov200_pct	0.0
xylo	cov200_n	11928
xylo	cov200_hits	0
