panel_label	species	clade	role	fig1_class	dnmt_absent	amplified_uli	library_class	protocol	library_strategy	library_selection	center_name	assembly	runs	native_coverage	covered_sites	confident_sites	floor_table
Achroia_grisella	Achroia grisella	Lepidoptera	calibration panel	native	no	no	NATIVE (assumed: no amplification wording)	PacBio - HiFi	WGS	RANDOM PCR	WELLCOME SANGER INSTITUTE	GCA_986269915	ERR17404616	54.0685	12873839	50316	results/lowmeth/hi70/Achroia_grisella.floor.tsv
Acidia_cognata	Acidia cognata	Diptera	calibration panel	dnmt	yes	yes	AMPLIFIED (ULI)	PacBio - HiFi (ULI)	WGS	RANDOM PCR	WELLCOME SANGER INSTITUTE	GCA_976940545.1	ERR13362659	39.4647	29046340	22041	results/lowmeth/hi70/Acidia_cognata.floor.tsv
Acropora_palmata	Acropora palmata	Cnidaria	calibration panel	amp	no	yes	AMPLIFIED (ULI)	PacBio - HiFi (ULI)	WGS	RANDOM PCR	WELLCOME SANGER INSTITUTE	GCA_964030605.1	ERR12875175	184.0527	9964356	1736	results/lowmeth/hi70/Acropora_palmata.floor.tsv
Acupalpus_dubius	Acupalpus dubius	Coleoptera	calibration panel	amp	no	yes	AMPLIFIED (ULI)	PacBio - HiFi (ULI)	WGS	RANDOM PCR	WELLCOME SANGER INSTITUTE	GCA_977071005.1	ERR13660004	36.1690	16664571	4295	results/lowmeth/hi70/Acupalpus_dubius.floor.tsv
Adscita_statices	Adscita statices	Lepidoptera	calibration panel	native	no	no	NATIVE (assumed: no amplification wording)	PacBio - HiFi	WGS	RANDOM	WELLCOME SANGER INSTITUTE	GCA_976954785	ERR15606385	49.2371	21850254	123945	results/lowmeth/hi70/Adscita_statices.floor.tsv
Aethecerus_discolor	Aethecerus discolor	Hymenoptera	calibration panel	amp	no	yes	AMPLIFIED (ULI)	PacBio - HiFi (ULI)	WGS	RANDOM PCR	WELLCOME SANGER INSTITUTE	GCA_983139185.1	ERR17019274	48.2531	22247703	6978	results/lowmeth/hi70/Aethecerus_discolor.floor.tsv
Agonopterix_ciliella	Agonopterix ciliella	Lepidoptera	calibration panel	native	no	no	NATIVE (assumed: no amplification wording)	PacBio - HiFi	WGS	RANDOM	WELLCOME SANGER INSTITUTE	GCA_983533275	ERR17174485	50.8399	31777602	198455	results/lowmeth/hi70/Agonopterix_ciliella.floor.tsv
Allodia_ornaticollis	Allodia ornaticollis	Diptera	calibration panel	amp	no	yes	AMPLIFIED (ULI)	PacBio - HiFi (ULI)	WGS	RANDOM PCR	WELLCOME SANGER INSTITUTE	GCA_982340675.1	ERR15606360	62.7519	17405110	1268	results/lowmeth/hi70/Allodia_ornaticollis.floor.tsv
Anasimyia_lineata	Anasimyia lineata	Diptera	calibration panel	native	no	no	NATIVE (assumed: no amplification wording)	PacBio - HiFi	WGS	RANDOM	WELLCOME SANGER INSTITUTE	GCA_982525295.1	ERR13698293	69.4194	18762001	119346	results/lowmeth/hi70/Anasimyia_lineata.floor.tsv
Anopheles_minimus	Anopheles minimus	Diptera	calibration panel	amp	no	yes	AMPLIFIED (ULI)	PacBio - HiFi (ULI)	WGS	RANDOM PCR	WELLCOME SANGER INSTITUTE	GCA_965234385.1	ERR14048107	53.7760	11215859	28606	results/lowmeth/hi70/Anopheles_minimus.floor.tsv
