label	rna_run	genome_fa	gff	cpg_bed	rna_tissue	dna_tissue	tissue_match
ilAgrLitu1	ERR12035178	gate/ilAgrLitu1.fa	exon/ilAgrLitu1.gff3.gz	gate/ilAgrLitu1_deposited.combined.bed.gz	ABDOMEN	HEAD|THORAX	different
ilNocJanh1	ERR14792820	revio/ilNocJanh1.fa	exon/ilNocJanh1.gff3.gz	revio/ilNocJanh1.combined.bed.gz	WHOLE_ORGANISM	WHOLE_ORGANISM	same
ilPluFest1	ERR12245559	revio/ilPluFest1.fa	exon/ilPluFest1.gff3.gz	revio/ilPluFest1.combined.bed.gz	THORAX	THORAX	same
ilCalLunu1	ERR14792849	revio/ilCalLunu1.fa	NONE	revio/ilCalLunu1.combined.bed.gz	ABDOMEN	ABDOMEN	same
ilApaCren1	ERR11641128	revio/ilApaCren1.fa	exon/ilApaCren1.gff3.gz	revio/ilApaCren1.combined.bed.gz	ABDOMEN	THORAX	different
ilCerLeuc1	ERR11837501	revio/ilCerLeuc1.fa	exon/ilCerLeuc1.gff3.gz	revio/ilCerLeuc1.combined.bed.gz	THORAX	THORAX	same
ilEurOccu1	ERR12245547	revio/ilEurOccu1.fa	exon/ilEurOccu1.gff3.gz	revio/ilEurOccu1.combined.bed.gz	THORAX	THORAX	same
ilHopAmbi1	ERR12245544	revio/ilHopAmbi1.fa	exon/ilHopAmbi1.gff3.gz	revio/ilHopAmbi1.combined.bed.gz	ABDOMEN	ABDOMEN	same
ilHopBlan1	ERR12035177	revio/ilHopBlan1.fa	exon/ilHopBlan1.gff3.gz	revio/ilHopBlan1.combined.bed.gz	THORAX	THORAX	same
ilHypRect1	ERR11837481	revio/ilHypRect1.fa	exon/ilHypRect1.gff3.gz	revio/ilHypRect1.combined.bed.gz	THORAX	THORAX	same
ilLitLeau1	ERR11242523	revio/ilLitLeau1.fa	exon/ilLitLeau1.gff3.gz	revio/ilLitLeau1.combined.bed.gz	THORAX	THORAX	same
ilLitOrni1	ERR11242517	revio/ilLitOrni1.fa	exon/ilLitOrni1.gff3.gz	revio/ilLitOrni1.combined.bed.gz	ABDOMEN	THORAX	different
ilLitSoci1	ERR11641112	revio/ilLitSoci1.fa	exon/ilLitSoci1.gff3.gz	revio/ilLitSoci1.combined.bed.gz	THORAX	THORAX	same
ilPolLich1	ERR12708741	revio/ilPolLich1.fa	exon/ilPolLich1.gff3.gz	revio/ilPolLich1.combined.bed.gz	HEAD|THORAX	HEAD|THORAX	same
ms_112c_21	SRR893021	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_112c_22	SRR893022	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_114c_23	SRR893023	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_114c_24	SRR893024	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_115c_25	SRR893025	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_115c_26	SRR893026	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_131c_27	SRR893027	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_131c_28	SRR893028	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_136c_29	SRR893029	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_136c_30	SRR893030	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_138c_31	SRR893031	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_138c_32	SRR893032	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_187t_33	SRR893033	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_187t_34	SRR893034	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_196t_35	SRR893035	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_196t_36	SRR893036	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_198t_37	SRR893037	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_198t_38	SRR893038	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_205t_39	SRR893039	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_205t_40	SRR893040	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_212t_41	SRR893041	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_212t_42	SRR893042	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_214t_43	SRR893043	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
ms_214t_44	SRR893044	methsplice/ref/Amel_HAv3.fa	methsplice/ref/Amel_HAv3.gff	NONE	FAT_BODY	FAT_BODY	same
msm_tko_2i_1	SRR9007987	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_tko_2i_2	SRR9007988	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_tko_2i_3	SRR9007989	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_tko_serum_1	SRR9007990	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_tko_serum_2	SRR9007991	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_tko_serum_3	SRR9007992	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_wt_serum_1	SRR25759381	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_wt_serum_2	SRR25759385	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_wt_serum_3	SRR25759380	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_wt_2i_1	SRR25759379	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_wt_2i_2	SRR25759378	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
msm_wt_2i_3	SRR25759377	methsplice/refmm/GRCm39.fa	methsplice/refmm/GRCm39.gff	NONE	ESC	ESC	same
hsc_k562Dm3dr1	SRR22257333	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562Di3dr1	SRR22257336	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtpP1dDir3	SRR25222799	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562dtagdt6hr1	SRR22257324	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtpP1dDmr3	SRR25222796	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtmP1dDir3	SRR25222793	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hctDm3dr1	SRR22257327	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hctDi3dr1	SRR22257330	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtmP1dDmr3	SRR25222790	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtpP1dDmr2	SRR25222797	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hctDi3dr3	SRR22257328	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562Dm3dr3	SRR22257331	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562dtagdt6hr3	SRR22257322	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hctDm3dr3	SRR22257325	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtmP1dDir2	SRR25222794	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562dtagdt6hr2	SRR22257323	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtmP1dDmr1	SRR25222792	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562dtagDm6hr3	SRR22257319	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtmP1dDmr2	SRR25222791	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562Di3dr3	SRR22257334	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562dtagDm6hr2	SRR22257320	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtpP1dDir2	SRR25222800	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hctDm3dr2	SRR22257326	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562dtagDm6hr1	SRR22257321	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtpP1dDmr1	SRR25222798	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtmP1dDir1	SRR25222795	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562Dm3dr2	SRR22257332	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_k562Di3dr2	SRR22257335	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hcthtpP1dDir1	SRR25222801	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsc_hctDi3dr2	SRR22257329	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a6r2	SRR30806737	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a6r2	SRR30806740	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual2r2	SRR30806746	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a2r2	SRR30806749	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual8r1	SRR30806723	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt6r2	SRR30806743	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a8r1	SRR30806729	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a8r1	SRR30806726	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt6r3	SRR30806742	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a8r2	SRR30806725	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a8r2	SRR30806728	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual8r2	SRR30806722	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt8r2	SRR30806731	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual6r2	SRR30806734	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt2r3	SRR30806754	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a8r3	SRR30806727	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual2r3	SRR30806745	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual2r1	SRR30806747	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt8r3	SRR30806730	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a2r1	SRR30806750	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a2r3	SRR30806748	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a2r1	SRR30806753	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a2r3	SRR30806751	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt2r1	SRR30806756	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a6r3	SRR30806739	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual6r3	SRR30806733	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a6r3	SRR30806736	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt2r2	SRR30806755	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a2r2	SRR30806752	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual8r3	SRR30806721	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_u1a6r1	SRR30806741	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a8r3	SRR30806724	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt6r1	SRR30806744	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_wt8r1	SRR30806732	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_dual6r1	SRR30806735	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsa_d1a6r1	SRR30806738	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsk_hct116wt_a	SRR3644141	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsk_hct116wt_b	SRR3644142	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsk_hct116dko_a	SRR3644143	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
hsk_hct116dko_b	SRR3644144	methsplice/refhs/GRCh38.fa	methsplice/refhs/GRCh38.gff	NONE	CELL	CELL	same
apc_unc18501	SRR26398862	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc18304	SRR26398860	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unt18304	SRR26398851	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc18301	SRR26398857	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18302	SRR26398843	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18503	SRR26398838	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unc183031	SRR26398834	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unc18303	SRR26398861	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc18302	SRR26398859	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc18503	SRR26398849	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18504	SRR26398835	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18303	SRR26398846	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unc18302	SRR26398836	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unc18301	SRR26398837	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt185041	SRR26398839	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18304	SRR26398841	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc18501	SRR26398850	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unt185041	SRR26398833	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc185031	SRR26398853	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unt18301	SRR26398855	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unc18502	SRR26398847	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18501	SRR26398845	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc185011	SRR26398852	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18502	SRR26398842	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unc18503	SRR26398840	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc18504	SRR26398848	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upt18301	SRR26398844	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unc18304	SRR26398858	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_upc18303	SRR26398856	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
apc_unt18302	SRR26398854	methsplice/refap/Apal.fa	NONE	NONE	CORAL	CORAL	same
ilAgrLych1	ERR14792812	revio/ilAgrLych1.fa	NONE	revio/ilAgrLych1.combined.bed.gz	HEAD|THORAX	HEAD|THORAX	same
ilApaSubl1	ERR14792843	revio/ilApaSubl1.fa	NONE	revio/ilApaSubl1.combined.bed.gz	HEAD|THORAX	HEAD|THORAX	same
ilDasTemp1	ERR14792811	revio/ilDasTemp1.fa	NONE	revio/ilDasTemp1.combined.bed.gz	THORAX	THORAX	same
ilHadPleb2	ERR14792850	revio/ilHadPleb2.fa	NONE	revio/ilHadPleb2.combined.bed.gz	WHOLEORGANISM	WHOLEORGANISM	same
ilLacOler1	ERR11837482	revio/ilLacOler1.fa	NONE	revio/ilLacOler1.combined.bed.gz	THORAX	THORAX	same
ilPolNebu2	ERR11837483	revio/ilPolNebu2.fa	NONE	revio/ilPolNebu2.combined.bed.gz	THORAX	THORAX	same
ilPyrUmbr1	ERR14792814	revio/ilPyrUmbr1.fa	NONE	revio/ilPyrUmbr1.combined.bed.gz	WHOLEORGANISM	WHOLEORGANISM	same
