n_per_group	dpsi_thr	sigma_shared_depth	mean_overlap_enrichment	mean_spearman	median_hypergeom_p	naive_hypergeom_FPR	naive_rho_FPR	permutation_overlap_FPR	permutation_rho_FPR	permutation_pval_FPR	mean_obs_set	mean_perm_set
3	0.05	0	1.00588	0.00867336	0.199112	0.2	0	0.0333333	0.0333333	0.0333333	2100.13	2048.56
3	0.05	0.4	1.02529	0.0707132	0.000442942	0.9	0.0666667	0	0	0	2059.65	2009.81
3	0.05	0.8	1.08098	0.215479	4.79729e-22	1	1	0	0	0.0333333	1983.93	1926.6
3	0.05	1.2	1.14601	0.337261	1.00632e-51	1	1	0	0	0	1895.83	1839.91
3	0.1	0	1.00658	0.00315146	0.442603	0.0333333	0	0	0	0	732.383	543.117
3	0.1	0.4	1.12338	0.0799565	0.0084602	0.833333	0.1	0	0	0	784.783	594.878
3	0.1	0.8	1.31263	0.214921	4.09625e-13	1	1	0	0	0	882.817	699.598
3	0.1	1.2	1.43029	0.331	2.80612e-33	1	1	0	0	0	978.683	801.497
3	0.2	0	0.938663	0.00317095	0.660557	0.0333333	0	0	0.0666667	0.0333333	150.65	28.0049
3	0.2	0.4	1.06001	0.0818949	0.496297	0.1	0.166667	0	0	0.0333333	159.7	37.9223
3	0.2	0.8	1.50492	0.217238	0.0502582	0.5	1	0	0	0	193.433	73.4469
3	0.2	1.2	1.99893	0.333532	1.14919e-06	1	1	0	0	0	260.117	143.124
6	0.05	0	1.00809	0.00948381	0.317913	0.0666667	0	0.0333333	0.1	0.0666667	1438.53	1291.79
6	0.05	0.4	1.06289	0.0684434	0.000230676	1	0.0333333	0	0	0	1438.42	1294.67
6	0.05	0.8	1.17301	0.195081	1.82458e-21	1	1	0	0	0	1448.33	1295.76
6	0.05	1.2	1.26603	0.308676	2.44358e-49	1	1	0	0	0	1454.75	1312.29
6	0.1	0	1.02509	-0.00340561	0.383342	0	0	0	0	0	425.983	141.117
6	0.1	0.4	1.04825	0.0658532	0.342609	0.133333	0	0	0	0	450.033	175.205
6	0.1	0.8	1.26634	0.191432	0.000603267	0.9	1	0	0	0	535.683	271.076
6	0.1	1.2	1.49853	0.305374	5.27215e-14	1	1	0	0	0	639	387.837
6	0.2	0	1.00372	0.00865729	0.584635	0	0	0.866667	0.133333	1	131.5	4.2965
6	0.2	0.4	0.907196	0.0663282	0.713419	0	0.1	0.533333	0	0.7	131.55	5.33458
6	0.2	0.8	1.06254	0.196492	0.553617	0.0333333	1	0	0	0	137.85	13.1498
6	0.2	1.2	1.31464	0.305688	0.249321	0.233333	1	0	0	0	158.417	35.2225
12	0.05	0	1.00979	0.00408461	0.44182	0.0666667	0	0	0.0333333	0.0333333	793.933	531.577
12	0.05	0.4	1.09469	0.0671479	0.0139694	0.7	0.1	0	0	0	838.75	581.04
12	0.05	0.8	1.27303	0.186486	7.10815e-13	1	1	0	0	0	935.867	691.69
12	0.05	1.2	1.39916	0.29423	4.09441e-33	1	1	0	0	0	1028.38	798.144
12	0.1	0	0.993156	0.00515246	0.52846	0.0333333	0	0	0.1	0	352.75	26.696
12	0.1	0.4	0.968718	0.0670794	0.586726	0	0.0333333	0	0	0	353.867	35.0894
12	0.1	0.8	1.09747	0.184905	0.292285	0.266667	1	0	0	0	383.333	72.4945
12	0.1	1.2	1.24591	0.29212	0.0115032	0.866667	1	0	0	0	446.117	141.059
12	0.2	0	1.07004	-0.0024902	0.611118	0.0333333	0	0	0.0333333	1	120.883	0.45925
12	0.2	0.4	1.137	0.0678518	0.450593	0.0666667	0	0.0666667	0	1	120.35	0.534833
12	0.2	0.8	1.06895	0.183738	0.545151	0.0333333	1	0.333333	0	0.9	121.25	1.4955
12	0.2	1.2	1.24477	0.284027	0.311207	0.1	1	0	0	0	124.967	5.50692
