contrast	group1	group2
mouse_TKOvWT_2i	msm_tko_2i_1,msm_tko_2i_2,msm_tko_2i_3	msm_wt_2i_1,msm_wt_2i_2,msm_wt_2i_3
mouse_TKOvWT_serum	msm_tko_serum_1,msm_tko_serum_2,msm_tko_serum_3	msm_wt_serum_1,msm_wt_serum_2,msm_wt_serum_3
degron_d1aid_Day2	hsa_d1a2r1,hsa_d1a2r2,hsa_d1a2r3	hsa_wt2r1,hsa_wt2r2,hsa_wt2r3
degron_d1aid_Day6	hsa_d1a6r1,hsa_d1a6r2,hsa_d1a6r3	hsa_wt6r1,hsa_wt6r2,hsa_wt6r3
degron_d1aid_Day8	hsa_d1a8r1,hsa_d1a8r2,hsa_d1a8r3	hsa_wt8r1,hsa_wt8r2,hsa_wt8r3
degron_u1aid_Day2	hsa_u1a2r1,hsa_u1a2r2,hsa_u1a2r3	hsa_wt2r1,hsa_wt2r2,hsa_wt2r3
degron_u1aid_Day6	hsa_u1a6r1,hsa_u1a6r2,hsa_u1a6r3	hsa_wt6r1,hsa_wt6r2,hsa_wt6r3
degron_u1aid_Day8	hsa_u1a8r1,hsa_u1a8r2,hsa_u1a8r3	hsa_wt8r1,hsa_wt8r2,hsa_wt8r3
degron_dual_Day2	hsa_dual2r1,hsa_dual2r2,hsa_dual2r3	hsa_wt2r1,hsa_wt2r2,hsa_wt2r3
degron_dual_Day6	hsa_dual6r1,hsa_dual6r2,hsa_dual6r3	hsa_wt6r1,hsa_wt6r2,hsa_wt6r3
degron_dual_Day8	hsa_dual8r1,hsa_dual8r2,hsa_dual8r3	hsa_wt8r1,hsa_wt8r2,hsa_wt8r3
K562_DNMT1i_3d	hsc_k562Di3dr1,hsc_k562Di3dr2,hsc_k562Di3dr3	hsc_k562Dm3dr1,hsc_k562Dm3dr2,hsc_k562Dm3dr3
HCT116_DNMT1i_3d	hsc_hctDi3dr1,hsc_hctDi3dr2,hsc_hctDi3dr3	hsc_hctDm3dr1,hsc_hctDm3dr2,hsc_hctDm3dr3
K562_CTCFdtag_6h	hsc_k562dtagdt6hr1,hsc_k562dtagdt6hr2,hsc_k562dtagdt6hr3	hsc_k562dtagDm6hr1,hsc_k562dtagDm6hr2,hsc_k562dtagDm6hr3
HCT116_CTCFdeg_DNMT1i_vs_DMSO	hsc_hcthtpP1dDir1,hsc_hcthtpP1dDir2,hsc_hcthtpP1dDir3	hsc_hcthtpP1dDmr1,hsc_hcthtpP1dDmr2,hsc_hcthtpP1dDmr3
HCT116_noCTCFdeg_DNMT1i_vs_DMSO	hsc_hcthtmP1dDir1,hsc_hcthtmP1dDir2,hsc_hcthtmP1dDir3	hsc_hcthtmP1dDmr1,hsc_hcthtmP1dDmr2,hsc_hcthtmP1dDmr3
HCT116_DKO_vs_WT	hsk_hct116dko_a,hsk_hct116dko_b	hsk_hct116wt_a,hsk_hct116wt_b
