contrast	n_exons	mean_dpsi_obs	mean_dpsi_null	n_gt05_obs	n_gt05_null	excess05	n_gt10_obs	n_gt10_null	relabelings_ge_obs	top
mouse_TKOvWT_2i	106022	0.01048	0.00717	5103	3212.8	1.59	2193	1017.3	0/18	rna-NM_001199433.2:NC_000075.7:20823029-20823311=1.00;rna-NM_001199433.2:NC_000075.7:20823476-20823604=1.00;rna-NM_001199433.2:NC_000075.7:20822713-20822854=1.00
mouse_TKOvWT_serum	107861	0.01149	0.0073	5773	3216.4	1.79	2628	1019.1	0/18	rna-NM_001359407.1:NC_000076.7:128660648-128660700=0.93;rna-NM_001419222.1:NC_000082.7:16994276-16994368=0.89;rna-NM_001081115.2:NC_000073.7:28245581-28245632=0.85
degron_d1aid_Day2	83958	0.00967	0.00971	3935	3990.1	0.99	1134	1196.2	14/18	rna-XM_047437688.1:NC_000018.10:62280360-62280442=0.52;rna-NM_194455.1:NC_000007.14:92244902-92245134=0.50;rna-NM_001317231.2:NC_000011.10:47635545-47635571=0.49
degron_d1aid_Day6	109126	0.00975	0.00949	4776	4592.3	1.04	1404	1276.1	0/18	rna-NR_033942.1-2:NW_018654715.1:231473-231547=0.55;rna-XM_054329053.1:NT_187607.1:631000-631113=0.54;rna-NM_001285450.2-2:NT_187607.1:667825-667905=0.54
degron_d1aid_Day8	84581	0.0107	0.00984	4352	3976.0	1.09	1491	1232.8	0/18	rna-NM_002117.6:NC_000006.12:31271599-31271868=0.71;rna-NM_002117.6:NC_000006.12:31271073-31271348=0.58;rna-NM_001366249.2:NC_000017.11:778622-778744=0.51
degron_u1aid_Day2	82870	0.01001	0.00956	4008	3829.0	1.05	1297	1151.1	0/18	rna-NM_033256.3:NC_000019.10:38252894-38252974=0.68;rna-NM_033256.3:NC_000019.10:38252306-38252338=0.63;rna-XM_047416440.1:NC_000004.12:55449396-55449496=0.53
degron_u1aid_Day6	111849	0.01031	0.00982	5422	5022.4	1.08	1668	1436.9	0/18	rna-XM_024446664.2:NC_000007.14:76398720-76398797=0.55;rna-NM_001165945.2:NC_000001.11:16055678-16055758=0.52;rna-NM_000085.5:NC_000001.11:16055675-16055758=0.51
degron_u1aid_Day8	94835	0.01146	0.01038	5495	4840.3	1.14	1961	1554.6	0/18	rna-NM_002117.6-6:NT_167249.2:2573547-2573816=0.68;rna-NM_002117.6-6:NT_167249.2:2573025-2573300=0.67;rna-XM_047442857.1:NT_187607.1:865987-866050=0.55
degron_dual_Day2	81049	0.01041	0.00973	4170	3809.9	1.09	1413	1181.8	0/18	rna-NM_033256.3:NC_000019.10:38252894-38252974=0.84;rna-NM_033256.3:NC_000019.10:38252306-38252338=0.81;rna-NM_080386.4:NC_000002.12:131479308-131479456=0.81
degron_dual_Day6	109456	0.01054	0.00975	5383	4812.4	1.12	1784	1420.6	0/18	rna-XM_011509689.4:NC_000001.11:217491680-217491750=0.71;rna-XM_047441585.1:NC_000022.11:20431018-20431537=0.63;rna-XM_011509689.4:NC_000001.11:217449249-217449337=0.61
degron_dual_Day8	72056	0.01375	0.01134	5044	4224.7	1.19	2067	1408.4	0/18	rna-NM_001322204.2:NC_000009.12:5126333-5126446=0.75;rna-NM_002117.6-6:NT_167249.2:2573025-2573300=0.69;rna-NM_002117.6-6:NT_167249.2:2573547-2573816=0.69
K562_DNMT1i_3d	11453	0.00528	0.00533	245	248.6	0.99	82	84.7	12/18	rna-NM_001291527.2:NC_000023.11:135882536-135882629=0.57;rna-NR_003605.2:NC_000020.11:49280903-49280964=0.36;rna-XM_047448141.1:NC_000003.12:152446704-152446757=0.35
HCT116_DNMT1i_3d	10223	0.00591	0.00564	267	255.8	1.04	109	91.8	4/18	rna-XM_011540401.4:NC_000010.11:104010816-104010908=0.40;rna-NR_038109.1:NC_000017.11:76558945-76559043=0.35;rna-NM_133480.4:NC_000003.12:9787006-9787109=0.34
K562_CTCFdtag_6h	12089	0.00742	0.00698	425	401.3	1.06	160	146.3	0/18	rna-NM_001025204.2:NC_000021.9:43101366-43101432=0.66;rna-NM_007002.4:NC_000020.11:62308368-62308470=0.50;rna-NM_001010.3:NC_000009.12:19376494-19376651=0.42
HCT116_CTCFdeg_DNMT1i_vs_DMSO	34400	0.00806	0.00792	1285	1230.3	1.04	346	334.4	0/18	rna-XM_047438903.1:NC_000019.10:50009236-50009385=0.41;rna-XM_054331902.1:NW_014040926.1:110831-110999=0.38;rna-NR_045839.2:NC_000016.10:89313317-89313589=0.35
HCT116_noCTCFdeg_DNMT1i_vs_DMSO	34703	0.01035	0.0104	2009	2030.9	0.99	629	619.9	16/18	rna-NM_001198526.2:NC_000010.11:113160619-113160691=0.40;rna-XM_047445151.1:NC_000002.12:55578247-55578342=0.39;rna-NM_001395183.1-2:NW_016107298.1:383143-383196=0.39
HCT116_DKO_vs_WT	94934	0.02059	0.01446	9433	6619.0	1.43	4093	1972.5	0/4	rna-NM_001193278.1:NC_000023.11:10482480-10482628=1.00;rna-XM_047443070.1:NC_000002.12:157295663-157295798=1.00;rna-XM_047443070.1:NC_000002.12:157296394-157296513=1.00
