contrast	n_split	genes_s1	s1_dslope	s1_null	s1_z	s2_posshift	s2_z	novel_g1	novel_g2	novel_ratio	novel_null_med	novel_null_lo	novel_null_hi	novel_p	depth_g1	depth_g2	njunc_g1	njunc_g2	novel_norm_g1	novel_norm_g2	novel_norm_ratio	novel_norm_p
mouse_TKOvWT_2i	18	5847	0.3813	-0.0	3.77	-0.0651	-0.4	424	17410	0.02	1.38	0.12	8.56	1.0	22967730	64623450	127757	178828	1786	5757	0.31	0.947
mouse_TKOvWT_serum	18	5948	0.3867	-0.0	3.68	-0.0601	0.37	612	12517	0.05	1.32	0.1	9.85	1.0	22956388	59588201	131455	165900	2305	3904	0.59	1.0
degron_d1aid_Day2	18	4542	0.0728	0.0	2.78	-0.0939	-0.67	321	777	0.41	1.06	0.49	2.05	1.0	21214084	21106655	115257	118856	359	643	0.56	0.895
degron_d1aid_Day6	18	5780	0.012	0.0	0.45	-0.0888	-0.19	918	602	1.52	1.18	0.18	5.58	0.316	21070247	20995121	136014	137056	803	736	1.09	0.421
degron_d1aid_Day8	18	4679	0.7594	0.0	2.92	-0.055	1.22	1032	2065	0.5	1.08	0.09	11.72	0.789	23257462	21858990	121387	129306	969	2935	0.33	0.895
degron_u1aid_Day2	18	4513	0.3378	0.0	2.81	-0.0796	-1.36	949	1429	0.66	1.02	0.42	2.41	0.789	25683547	21106655	117431	118856	618	1995	0.31	1.0
degron_u1aid_Day6	18	5909	-0.0027	-0.0	-0.12	-0.0922	-1.21	1888	355	5.32	1.02	0.36	2.81	0.053	24699171	20995121	142955	137056	1374	543	2.53	0.053
degron_u1aid_Day8	18	5187	0.5367	0.0	2.89	-0.0757	-0.14	1944	1074	1.81	1.1	0.36	2.79	0.263	25046839	21858990	130808	129306	1459	1842	0.79	0.684
degron_dual_Day2	18	4393	0.1263	0.0	2.97	-0.0676	0.49	797	1333	0.6	1.12	0.38	2.64	0.789	20715439	21106655	113278	118856	807	1174	0.69	0.789
degron_dual_Day6	18	5810	0.1736	0.0	2.45	-0.0769	2.88	2778	710	3.91	1.19	0.22	4.6	0.105	22269979	20995121	140979	137056	2336	984	2.37	0.105
degron_dual_Day8	18	4059	1.6685	-0.0	3.25	-0.0482	1.09	2234	7853	0.28	1.13	0.22	4.55	0.947	18476351	21858990	112257	129306	2410	7184	0.34	0.895
K562_DNMT1i_3d	18	548	-0.0449	0.0	-1.04	-0.0675	-0.02	388	270	1.44	1.02	0.41	2.42	0.316	1591450	1563281	29839	29196	306	339	0.9	0.737
HCT116_DNMT1i_3d	18	453	0.031	0.0	0.7	-0.0711	-1.4	707	400	1.77	1.03	0.45	2.24	0.316	1515657	1539182	30866	29324	710	302	2.35	0.053
K562_CTCFdtag_6h	18	577	-0.0605	-0.0	-1.08	-0.0233	-0.88	462	257	1.8	1.17	0.59	1.7	0.053	1906872	1639498	31665	29819	330	281	1.17	0.421
HCT116_CTCFdeg_DNMT1i_vs_DMSO	18	1846	0.0116	0.0	0.8	-0.0781	-0.59	76	1661	0.05	1.05	0.04	25.47	0.947	2920535	4437047	68485	82340	312	563	0.55	0.895
HCT116_noCTCFdeg_DNMT1i_vs_DMSO	18	1858	-0.0585	0.0	-1.77	-0.0307	2.2	854	246	3.47	1.13	0.24	4.13	0.158	3637519	2983232	77451	70770	352	529	0.67	0.789
HCT116_DKO_vs_WT	4	5074	-0.0276	0.0	-2.98	-0.0401	15.08	15670	3848	4.07	1.02	0.97	1.03	0.2	14745409	13948713	138427	119944	13747	4205	3.27	0.2
