run	label	assay	title
SRR26401113	apb_upt18301	wgbs	upT-183-01, methylseq
SRR26398862	apc_unc18501	rna	UnC-185-01, rnaseq
SRR26401086	apb_unt18303	wgbs	unT-183-03, methylseq
SRR26398860	apc_upc18304	rna	UpC-183-04, rnaseq
SRR26401103	apb_unt18501	wgbs	unT-185-01, methylseq
SRR26398851	apc_unt18304	rna	UnT-183-04, rnaseq
SRR26401110	apb_upt18502	wgbs	upT-185-02, methylseq
SRR26401106	apb_upc18502	wgbs	upC-185-02, methylseq
SRR26398857	apc_upc18301	rna	UpC-183-01, rnaseq
SRR26398843	apc_upt18302	rna	UpT-183-02, rnaseq
SRR26401089	apb_upc18304	wgbs	upC-183-04, methylseq
SRR26401095	apb_upt18504	wgbs	upT-185-04, methylseq
SRR26398838	apc_upt18503	rna	UpT-185-03, rnaseq
SRR26401092	apb_upc18301	wgbs	upC-183-01, methylseq
SRR26398834	apc_unc183031	rna	UnC-183-03.1, rnaseq
SRR26401091	apb_upc18302	wgbs	upC-183-02, methylseq
SRR26398861	apc_unc18303	rna	UnC-183-03, rnaseq
SRR26401088	apb_unt18301	wgbs	unT-183-01, methylseq
SRR26401115	apb_unc18501	wgbs	unC-185-01, methylseq
SRR26398859	apc_upc18302	rna	UpC-183-02, rnaseq
SRR26401107	apb_unc18503	wgbs	unC-185-03, methylseq
SRR26401097	apb_unc18302	wgbs	unC-183-02, methylseq
SRR26398849	apc_upc18503	rna	UpC-185-03, rnaseq
SRR26401094	apb_unc18303	wgbs	unC-183-03, methylseq
SRR26398835	apc_upt18504	rna	UpT-185-04, rnaseq
SRR26398846	apc_upt18303	rna	UpT-183-03, rnaseq
SRR26398836	apc_unc18302	rna	UnC-183-02, rnaseq
SRR26398837	apc_unc18301	rna	UnC-183-01, rnaseq
SRR26398839	apc_upt185041	rna	UpT-185-04.1, rnaseq
SRR26398841	apc_upt18304	rna	UpT-183-04, rnaseq
SRR26401105	apb_upc18503	wgbs	upC-185-03, methylseq
SRR26398850	apc_upc18501	rna	UpC-185-01, rnaseq
SRR26401102	apb_unt18502	wgbs	unT-185-02, methylseq
SRR26401100	apb_unt18504	wgbs	unT-185-04, methylseq
SRR26398833	apc_unt185041	rna	UnT-185-04.1, rnaseq
SRR26398853	apc_upc185031	rna	UpC-185-03.1, rnaseq
SRR26401112	apb_upt18302	wgbs	upT-183-02, methylseq
SRR26401085	apb_unt18304	wgbs	unT-183-04, methylseq
SRR26398855	apc_unt18301	rna	UnT-183-01, rnaseq
SRR26398847	apc_unc18502	rna	UnC-185-02, rnaseq
SRR26401109	apb_upt18303	wgbs	upT-183-03, methylseq
SRR26398845	apc_upt18501	rna	UpT-185-01, rnaseq
SRR26401104	apb_upc18504	wgbs	upC-185-04, methylseq
SRR26398852	apc_upc185011	rna	UpC-185-01.1, rnaseq
SRR26401108	apb_upt18304	wgbs	upT-183-04, methylseq
SRR26398842	apc_upt18502	rna	UpT-185-02, rnaseq
SRR26401098	apb_unc18301	wgbs	unC-183-01, methylseq
SRR26398840	apc_unc18503	rna	UnC-185-03, rnaseq
SRR26401096	apb_upt18503	wgbs	upT-185-03, methylseq
SRR26401101	apb_unt18503	wgbs	unT-185-03, methylseq
SRR26398848	apc_upc18504	rna	UpC-185-04, rnaseq
SRR26401093	apb_unc18304	wgbs	unC-183-04, methylseq
SRR26401099	apb_unc18504	wgbs	unC-185-04, methylseq
SRR26401114	apb_unc18502	wgbs	unC-185-02, methylseq
SRR26398844	apc_upt18301	rna	UpT-183-01, rnaseq
SRR26401111	apb_upt18501	wgbs	upT-185-01, methylseq
SRR26401087	apb_unt18302	wgbs	unT-183-02, methylseq
SRR26401084	apb_upc18501	wgbs	upC-185-01, methylseq
SRR26401090	apb_upc18303	wgbs	upC-183-03, methylseq
SRR26398858	apc_unc18304	rna	UnC-183-04, rnaseq
SRR26398856	apc_upc18303	rna	UpC-183-03, rnaseq
SRR26398854	apc_unt18302	rna	UnT-183-02, rnaseq
