run	ref	outdir	title	strategy	layout	gbase
SRR833511	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	4.8
SRR833513	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	7.5
SRR833515	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	7.4
SRR833507	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	7.6
SRR833508	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	6.1
SRR833509	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	6.1
SRR833514	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	7.4
SRR833505	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	5.4
SRR833506	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	7.6
SRR833510	refmm	bs_mm	DNA_Methylation_E14_serum_LIF_replica	Bisulfite-Seq	PAIRED	6.1
SRR833519	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	5.5
SRR833524	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	8.5
SRR833523	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	8.6
SRR833525	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	8.4
SRR833516	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	4.9
SRR833517	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	8.5
SRR833518	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	8.6
SRR833520	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	5.5
SRR833521	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	5.5
SRR833522	refmm	bs_mm	DNA_Methylation_E14_adapted_2i_replica	Bisulfite-Seq	PAIRED	5.9
SRR30870879	refhs	bs_degron	UHRF1-AID/DNMT1-AID_WGBS_Day8_Rep1	Bisulfite-Seq	PAIRED	47.4
SRR30870882	refhs	bs_degron	UHRF1-AID/DNMT1-AID_WGBS_Day6_Rep1	Bisulfite-Seq	PAIRED	65.8
SRR30870888	refhs	bs_degron	DNMT1-AID_WGBS_Day6_Rep1	Bisulfite-Seq	PAIRED	29.9
SRR30870885	refhs	bs_degron	DNMT1-AID_WGBS_Day8_Rep1	Bisulfite-Seq	PAIRED	53.7
SRR30870881	refhs	bs_degron	UHRF1-AID/DNMT1-AID_WGBS_Day6_Rep2	Bisulfite-Seq	PAIRED	32.7
SRR30870884	refhs	bs_degron	DNMT1-AID_WGBS_Day8_Rep2	Bisulfite-Seq	PAIRED	53.9
SRR30870887	refhs	bs_degron	DNMT1-AID_WGBS_Day6_Rep2	Bisulfite-Seq	PAIRED	44.1
SRR30870890	refhs	bs_degron	UHRF1-AID_WGBS_Day8_Rep2	Bisulfite-Seq	PAIRED	60.1
SRR30870889	refhs	bs_degron	UHRF1-AID_WGBS_Day8_Rep3	Bisulfite-Seq	PAIRED	50.7
SRR30870892	refhs	bs_degron	UHRF1-AID_WGBS_Day6_Rep3	Bisulfite-Seq	PAIRED	26.7
SRR30870893	refhs	bs_degron	UHRF1-AID_WGBS_Day6_Rep2	Bisulfite-Seq	PAIRED	26.0
SRR30870878	refhs	bs_degron	UHRF1-AID/DNMT1-AID_WGBS_Day8_Rep2	Bisulfite-Seq	PAIRED	10.2
SRR30870891	refhs	bs_degron	UHRF1-AID_WGBS_Day8_Rep1	Bisulfite-Seq	PAIRED	66.3
SRR30870894	refhs	bs_degron	UHRF1-AID_WGBS_Day6_Rep1	Bisulfite-Seq	PAIRED	31.2
SRR30870886	refhs	bs_degron	DNMT1-AID_WGBS_Day6_Rep3	Bisulfite-Seq	PAIRED	52.3
SRR30870877	refhs	bs_degron	UHRF1-AID/DNMT1-AID_WGBS_Day8_Rep3	Bisulfite-Seq	PAIRED	11.0
SRR30870880	refhs	bs_degron	UHRF1-AID/DNMT1-AID_WGBS_Day6_Rep3	Bisulfite-Seq	PAIRED	56.7
SRR30870883	refhs	bs_degron	DNMT1-AID_WGBS_Day8_Rep3	Bisulfite-Seq	PAIRED	52.2
