run	label	stage	treatment
SRR27472014	harm_adult_ctrl_1	adult	control
SRR27472013	harm_adult_ctrl_2	adult	control
SRR27472012	harm_adult_ctrl_3	adult	control
SRR27472011	harm_adult_hac_1	adult	HAC
SRR27472020	harm_adult_hac_2	adult	HAC
SRR27472019	harm_adult_hac_3	adult	HAC
SRR27472022	harm_larva_ctrl_1	larva	control
SRR27472021	harm_larva_ctrl_2	larva	control
SRR27472018	harm_larva_ctrl_3	larva	control
SRR27472017	harm_larva_hac_1	larva	HAC
SRR27472016	harm_larva_hac_2	larva	HAC
SRR27472015	harm_larva_hac_3	larva	HAC
