gene	gc	cpg_oe	n_cpg	n_conf	pct_conf
gene_MP000003	0.35709	0.47823	98	66	67.3469
gene_MP000010	0.31923	0.65085	114	67	58.7719
gene_MP000013	0.33434	0.68283	22	5	22.7273
gene_MP000016	0.37060	0.80547	377	346	91.7772
gene_MP000031	0.31804	1.00760	355	0	0.0000
gene_MP000033	0.42237	0.83163	22	0	0.0000
gene_MP000050	0.36419	0.76021	86	35	40.6977
gene_MP000080	0.32451	0.96839	3642	74	2.0319
gene_MP000149	0.38805	0.61032	55	32	58.1818
gene_MP000170	0.35103	0.90191	1156	204	17.6471
gene_MP000264	0.32231	0.97080	1874	20	1.0672
gene_MP000280	0.37863	0.82413	41	36	87.8049
gene_MP000315	0.37367	0.77873	208	179	86.0577
gene_MP000375	0.37209	0.64414	39	38	97.4359
gene_MP000383	0.34978	0.53990	133	105	78.9474
gene_MP000389	0.36978	0.64119	65	48	73.8462
gene_MP000482	0.35549	0.46885	150	120	80.0000
gene_MP000506	0.32451	0.96839	1985	28	1.4106
gene_MP000552	0.36615	0.84496	614	0	0.0000
gene_MP000570	0.32864	0.97106	1097	26	2.3701
gene_MP000572	0.35896	0.41555	45	33	73.3333
gene_MP000574	0.32451	0.96839	1174	0	0.0000
gene_MP000587	0.40345	0.41931	31	31	100.0000
gene_MP000594	0.32864	0.97106	715	0	0.0000
gene_MP000627	0.39820	0.64969	246	126	51.2195
gene_MP000647	0.33636	0.91558	1971	12	0.6088
gene_MP000748	0.38194	0.67128	71	0	0.0000
gene_MP000793	0.41715	0.71054	418	23	5.5024
gene_MP000797	0.32716	0.96592	2487	19	0.7640
gene_MP000798	0.36561	0.54418	123	31	25.2033
gene_MP000799	0.38312	0.48948	78	50	64.1026
gene_MP000808	0.40046	0.48986	112	86	76.7857
gene_MP000809	0.30831	0.95972	1835	0	0.0000
gene_MP001104	0.39738	0.87224	725	370	51.0345
gene_MP001112	0.46289	0.56921	126	0	0.0000
gene_MP001132	0.31942	0.99392	591	0	0.0000
gene_MP001180	0.35031	0.62684	77	54	70.1299
gene_MP001187	0.37175	0.56265	459	302	65.7952
gene_MP001217	0.32235	1.03484	2490	0	0.0000
gene_MP001288	0.36601	0.84279	95	78	82.1053
gene_MP001459	0.37013	0.53815	71	63	88.7324
gene_MP001489	0.39945	0.45383	50	44	88.0000
gene_MP001501	0.31981	0.92454	695	0	0.0000
gene_MP001503	0.40369	0.76748	42	0	0.0000
gene_MP001535	0.38869	0.65497	21	0	0.0000
gene_MP001560	0.33382	0.96384	220	188	85.4545
gene_MP001588	0.38716	0.76396	110	0	0.0000
gene_MP001594	0.38686	0.51211	23	16	69.5652
gene_MP001623	0.37799	1.06853	43	25	58.1395
gene_MP001639	0.38025	0.72717	96	49	51.0417
gene_MP001644	0.38800	0.83400	57	42	73.6842
gene_MP001726	0.47802	0.48336	75	26	34.6667
gene_MP001777	0.44639	0.54243	94	83	88.2979
