gene	gc	cpg_oe	n_cpg	n_conf	pct_conf
gene_MP000004	0.33401	1.01866	58	46	79.3103
gene_MP000013	0.31363	1.02150	78	58	74.3590
gene_MP000043	0.30921	1.16203	125	0	0.0000
gene_MP000055	0.32275	0.88235	30	30	100.0000
gene_MP000088	0.32939	1.56674	1270	0	0.0000
gene_MP000098	0.35891	1.36739	73	0	0.0000
gene_MP000119	0.35557	1.32578	5223	0	0.0000
gene_MP000147	0.35405	1.26117	740	542	73.2432
gene_MP000170	0.35557	1.32578	815	580	71.1656
gene_MP000177	0.32291	0.96786	212	155	73.1132
gene_MP000197	0.33592	1.09263	226	0	0.0000
gene_MP000201	0.32000	0.82470	87	20	22.9885
gene_MP000207	0.33426	1.37956	3033	128	4.2202
gene_MP000230	0.32724	0.96181	165	143	86.6667
gene_MP000241	0.30514	1.16961	48	37	77.0833
gene_MP000242	0.30167	1.12441	64	41	64.0625
gene_MP000243	0.32005	0.68593	44	37	84.0909
gene_MP000244	0.32303	0.74748	48	39	81.2500
gene_MP000252	0.29590	1.04142	226	163	72.1239
gene_MP000255	0.44667	1.39285	128	96	75.0000
gene_MP000256	0.33069	1.52208	152	129	84.8684
gene_MP000257	0.30916	1.31539	87	61	70.1149
gene_MP000290	0.39756	1.12679	190	0	0.0000
gene_MP000302	0.52031	1.94566	1965	1	0.0509
gene_MP000303	0.35297	1.28152	142	131	92.2535
gene_MP000325	0.32078	1.29554	155	134	86.4516
gene_MP000330	0.36047	0.90577	70	50	71.4286
gene_MP000331	0.31945	1.14295	189	140	74.0741
gene_MP000347	0.31717	1.06099	201	146	72.6368
gene_MP000358	0.34200	1.02531	106	72	67.9245
gene_MP000362	0.36694	1.34336	164	129	78.6585
gene_MP000367	0.36724	1.05904	311	303	97.4277
gene_MP000372	0.42372	1.30488	119	75	63.0252
gene_MP000384	0.34303	1.27069	318	73	22.9560
gene_MP000388	0.31974	1.17163	161	115	71.4286
gene_MP000394	0.28472	0.98258	125	102	81.6000
gene_MP000396	0.35756	1.11089	169	109	64.4970
gene_MP000399	0.31930	1.14903	170	144	84.7059
gene_MP000403	0.36772	1.24016	154	124	80.5195
gene_MP000442	0.33768	1.13325	307	185	60.2606
gene_MP000451	0.46536	1.23338	71	47	66.1972
gene_MP000454	0.34015	1.30955	1180	275	23.3051
gene_MP000473	0.37050	1.36583	191	135	70.6806
gene_MP000483	0.30186	1.13762	231	210	90.9091
gene_MP000498	0.38047	1.37920	99	0	0.0000
gene_MP000514	0.33474	1.18429	579	382	65.9758
gene_MP000522	0.33339	1.31770	1210	721	59.5868
gene_MP000524	0.36040	1.29363	526	519	98.6692
gene_MP000559	0.37766	1.29043	1085	173	15.9447
gene_MP000564	0.31590	1.18113	875	193	22.0571
gene_MP000570	0.35775	1.14472	242	201	83.0579
gene_MP000587	0.30583	1.22323	630	12	1.9048
gene_MP000590	0.31833	1.23601	3161	0	0.0000
gene_MP000596	0.33086	1.57569	2785	141	5.0628
gene_MP000616	0.31729	1.19400	1352	160	11.8343
gene_MP000622	0.32546	0.94161	149	141	94.6309
gene_MP000636	0.32551	1.10713	336	0	0.0000
gene_MP000650	0.31806	1.22102	55	49	89.0909
gene_MP000663	0.34218	1.17321	62	21	33.8710
gene_MP000664	0.32458	1.17095	2761	0	0.0000
gene_MP000666	0.31861	1.02461	71	0	0.0000
gene_MP000674	0.34595	1.13525	437	389	89.0160
gene_MP000675	0.40045	1.19317	552	325	58.8768
gene_MP000686	0.34032	1.14495	627	214	34.1308
gene_MP000700	0.36110	1.47213	1304	220	16.8712
gene_MP000711	0.32300	1.27029	515	107	20.7767
gene_MP000720	0.35979	1.51885	878	103	11.7312
gene_MP000766	0.30956	0.99832	191	153	80.1047
gene_MP000774	0.36369	1.61418	29	25	86.2069
gene_MP000798	0.36157	1.52279	89	37	41.5730
gene_MP000808	0.34378	1.17084	181	106	58.5635
gene_MP000822	0.32546	1.54131	412	0	0.0000
gene_MP000846	0.37178	1.05995	429	392	91.3753
gene_MP000868	0.34381	1.39209	782	7	0.8951
gene_MP000887	0.33441	1.19110	1470	286	19.4558
gene_MP000890	0.34381	1.39209	13927	473	3.3963
gene_MP000923	0.33769	1.12666	285	0	0.0000
gene_MP000971	0.34482	1.19841	549	375	68.3060
gene_MP000981	0.35340	1.11340	857	660	77.0128
gene_MP000995	0.34070	1.16729	412	346	83.9806
gene_MP001004	0.38640	1.25089	380	362	95.2632
gene_MP001021	0.29251	1.25206	209	171	81.8182
gene_MP001065	0.34014	1.22798	111	101	90.9910
gene_MP001084	0.32041	1.47919	4888	0	0.0000
gene_MP001091	0.32427	1.53165	559	0	0.0000
gene_MP001170	0.32367	1.40652	1763	0	0.0000
gene_MP001210	0.32230	1.42119	530	100	18.8679
gene_MP001216	0.32671	1.28726	1218	116	9.5238
gene_MP001219	0.36253	1.27259	323	303	93.8080
gene_MP001224	0.33176	1.35410	891	232	26.0382
gene_MP001235	0.30999	0.99477	481	327	67.9834
gene_MP001270	0.31333	1.11307	137	101	73.7226
gene_MP001296	0.31986	1.04154	211	169	80.0948
gene_MP001302	0.28671	0.94249	828	161	19.4444
gene_MP001317	0.31722	1.31587	991	0	0.0000
gene_MP001337	0.32666	1.19632	145	36	24.8276
gene_MP001354	0.34621	1.29818	597	494	82.7471
gene_MP001389	0.37949	1.00171	652	594	91.1043
gene_MP001412	0.35396	1.23217	179	168	93.8547
gene_MP001443	0.34014	1.22798	168	154	91.6667
gene_MP001445	0.59986	1.14710	147	57	38.7755
gene_MP001456	0.34125	1.13076	97	90	92.7835
gene_MP001503	0.59614	1.12680	150	74	49.3333
gene_MP001521	0.30379	1.18272	244	185	75.8197
gene_MP001558	0.35429	1.23144	400	381	95.2500
gene_MP001566	0.30101	1.04367	84	66	78.5714
gene_MP001568	0.40000	1.42867	34	32	94.1176
gene_MP001586	0.33884	0.98772	99	0	0.0000
gene_MP001591	0.28890	0.99844	81	64	79.0123
