gene	gc	cpg_oe	n_cpg	n_conf	pct_conf
MOL.10	0.32393	0.87401	104	0	0.0000
MOL.1001	0.31158	1.05700	216	0	0.0000
MOL.1003	0.31849	0.57019	70	68	97.1429
MOL.1007	0.32134	1.03015	428	0	0.0000
MOL.1009	0.34212	0.84727	121	104	85.9504
MOL.1015	0.31331	0.87964	37	36	97.2973
MOL.1016	0.34015	0.73056	92	40	43.4783
MOL.102	0.32424	0.93738	36	0	0.0000
MOL.1022	0.31060	0.97582	224	0	0.0000
MOL.1023	0.30283	0.99336	369	0	0.0000
MOL.1024	0.27605	0.74965	68	0	0.0000
MOL.1029	0.29480	1.01594	273	0	0.0000
MOL.1030	0.30874	0.95538	221	0	0.0000
MOL.1037	0.29230	1.12109	64	0	0.0000
MOL.1038	0.30267	1.02030	24	0	0.0000
MOL.1042	0.34104	0.91111	75	0	0.0000
MOL.1046	0.28971	0.98104	61	0	0.0000
MOL.1047	0.29271	1.12833	29	0	0.0000
MOL.1049	0.34702	0.63865	22	12	54.5455
MOL.105	0.32510	1.02127	725	0	0.0000
MOL.1050	0.32320	0.92213	597	0	0.0000
MOL.1054	0.29202	0.94523	73	0	0.0000
MOL.1055	0.30659	0.82457	69	23	33.3333
MOL.1056	0.31841	0.98374	903	215	23.8095
MOL.1061	0.31829	0.84445	101	65	64.3564
MOL.1063	0.30922	0.92694	296	0	0.0000
MOL.1066	0.40057	0.51070	261	0	0.0000
MOL.1068	0.30930	1.04040	508	0	0.0000
MOL.1069	0.32246	0.97131	348	0	0.0000
MOL.1072	0.31073	0.98961	481	0	0.0000
MOL.1074	0.33624	0.97576	1083	0	0.0000
MOL.1075	0.32109	0.94862	158	0	0.0000
MOL.1078	0.29908	0.70518	92	83	90.2174
MOL.1079	0.31898	0.84908	132	118	89.3939
MOL.1083	0.30852	0.89124	53	51	96.2264
MOL.1088	0.34543	0.81312	81	4	4.9383
MOL.1089	0.35724	0.94882	22	0	0.0000
MOL.109	0.25841	0.60764	47	47	100.0000
MOL.1090	0.32036	0.93480	592	0	0.0000
MOL.1092	0.30852	0.72782	58	56	96.5517
MOL.1093	0.30000	0.84764	25	22	88.0000
MOL.1095	0.30679	0.92226	39	0	0.0000
MOL.1096	0.32133	1.01895	72	0	0.0000
MOL.1099	0.27314	0.60014	23	19	82.6087
MOL.11	0.29280	0.80652	161	108	67.0807
MOL.1101	0.31656	0.96453	1389	0	0.0000
MOL.1106	0.29101	0.66195	21	17	80.9524
MOL.1108	0.31500	1.00297	664	0	0.0000
MOL.1110	0.32404	1.00182	1423	0	0.0000
MOL.1114	0.32193	1.00814	594	0	0.0000
MOL.1116	0.31944	1.04063	662	0	0.0000
MOL.1117	0.31082	0.84991	104	0	0.0000
MOL.1118	0.54657	1.14079	68	0	0.0000
MOL.1129	0.29728	1.01575	603	0	0.0000
MOL.113	0.31726	0.96965	2049	0	0.0000
MOL.1132	0.30628	0.87204	772	7	0.9067
MOL.1133	0.29854	0.71742	78	74	94.8718
MOL.1135	0.33287	0.59138	38	38	100.0000
MOL.1137	0.29869	1.04691	102	16	15.6863
MOL.1138	0.31790	0.72474	65	61	93.8462
MOL.1141	0.31094	0.83784	39	38	97.4359
MOL.1142	0.29655	0.53439	77	60	77.9221
MOL.1144	0.31401	0.93362	493	0	0.0000
MOL.1149	0.32660	0.88764	275	268	97.4545
MOL.1151	0.32652	0.92018	134	0	0.0000
MOL.1152	0.30985	0.80469	99	0	0.0000
MOL.1155	0.31605	0.86775	284	134	47.1831
MOL.1159	0.31511	0.88727	339	76	22.4189
MOL.1165	0.33252	0.71072	90	90	100.0000
MOL.117	0.33004	0.97988	1729	1	0.0578
MOL.1171	0.30820	0.98787	935	45	4.8128
MOL.1174	0.32033	0.64107	209	158	75.5981
MOL.1176	0.25734	1.10784	69	69	100.0000
MOL.1177	0.36308	0.72255	62	59	95.1613
MOL.1195	0.65702	0.99557	26	0	0.0000
MOL.1198	0.32978	0.83901	122	107	87.7049
MOL.12	0.32434	0.84566	425	32	7.5294
MOL.120	0.32795	0.86582	75	72	96.0000
MOL.1200	0.30442	0.84015	104	82	78.8462
MOL.1206	0.27677	1.11368	21	19	90.4762
MOL.1207	0.29733	0.94958	766	239	31.2010
MOL.1208	0.31864	0.99120	1072	101	9.4216
MOL.121	0.31039	0.92182	39	34	87.1795
MOL.1212	0.30937	0.94035	364	0	0.0000
MOL.1215	0.34115	1.20683	62	0	0.0000
MOL.1217	0.29221	0.69683	108	95	87.9630
MOL.1218	0.33411	0.73010	52	51	98.0769
MOL.122	0.29446	0.55606	45	38	84.4444
MOL.1221	0.32352	0.96734	1177	23	1.9541
MOL.1224	0.32362	0.93926	872	235	26.9495
MOL.1227	0.31888	0.74478	32	20	62.5000
MOL.1228	0.29851	0.88106	47	36	76.5957
MOL.123	0.34585	0.77294	52	51	98.0769
MOL.1235	0.30936	0.98458	422	0	0.0000
MOL.1236	0.31578	0.84612	180	159	88.3333
MOL.1238	0.31465	0.93154	505	0	0.0000
MOL.124	0.27883	0.84646	39	36	92.3077
MOL.1243	0.30840	1.01845	3950	0	0.0000
MOL.1247	0.35382	0.62526	26	11	42.3077
MOL.1248	0.33767	1.00400	71	38	53.5211
MOL.1249	0.32758	0.83151	130	128	98.4615
MOL.1250	0.30008	0.66798	45	41	91.1111
MOL.1252	0.29858	0.81808	73	50	68.4932
MOL.1253	0.28664	0.74246	87	42	48.2759
MOL.1258	0.31777	0.73702	60	60	100.0000
MOL.1259	0.31237	0.97304	827	0	0.0000
MOL.126	0.31458	0.89289	89	83	93.2584
MOL.1262	0.32777	0.86719	92	0	0.0000
MOL.1264	0.30371	1.14663	155	0	0.0000
MOL.1266	0.31101	0.82025	129	0	0.0000
MOL.1268	0.29553	0.86067	69	0	0.0000
MOL.1271	0.31832	0.97473	490	0	0.0000
MOL.1278	0.31974	1.05613	681	64	9.3979
MOL.1279	0.30877	0.99611	2185	0	0.0000
MOL.1280	0.33093	0.73060	112	93	83.0357
MOL.1282	0.31292	0.79900	333	279	83.7838
MOL.1287	0.31356	1.03456	54	0	0.0000
MOL.1289	0.31801	0.89414	108	0	0.0000
MOL.1292	0.31593	0.99110	1384	0	0.0000
MOL.1295	0.32702	0.98880	159	0	0.0000
MOL.1296	0.31533	0.67601	71	47	66.1972
MOL.1297	0.31027	1.00054	122	0	0.0000
MOL.1298	0.32870	0.99828	332	0	0.0000
MOL.1300	0.31175	1.07104	126	0	0.0000
MOL.1301	0.29504	1.05351	61	0	0.0000
MOL.1302	0.33172	0.83822	42	0	0.0000
MOL.1304	0.29603	0.96731	69	0	0.0000
MOL.1305	0.33857	0.78675	63	0	0.0000
MOL.1308	0.31116	0.89821	118	85	72.0339
MOL.1311	0.37721	1.04983	38	33	86.8421
MOL.1313	0.33260	1.08880	35	27	77.1429
MOL.1315	0.29731	0.91072	95	86	90.5263
MOL.1317	0.32953	0.67780	92	91	98.9130
MOL.1318	0.29296	0.76899	110	101	91.8182
MOL.1319	0.35683	0.74350	32	0	0.0000
MOL.1320	0.30956	0.90717	264	0	0.0000
MOL.133	0.31007	0.99262	151	0	0.0000
MOL.1334	0.32300	0.81465	335	318	94.9254
MOL.1335	0.31320	0.98811	306	0	0.0000
MOL.1336	0.34000	0.72331	343	320	93.2945
MOL.1338	0.31871	0.79550	758	679	89.5778
MOL.1339	0.30280	0.81486	32	0	0.0000
MOL.1340	0.38173	0.89470	25	0	0.0000
MOL.1341	0.31357	0.70532	108	93	86.1111
MOL.1344	0.30945	0.69446	23	20	86.9565
MOL.1356	0.33043	0.86770	87	84	96.5517
MOL.1357	0.31664	0.79603	37	18	48.6486
MOL.1359	0.31130	0.99876	29	0	0.0000
MOL.136	0.28609	0.74882	35	33	94.2857
MOL.1363	0.31355	0.81381	515	0	0.0000
MOL.1364	0.34657	1.09517	32	23	71.8750
MOL.1366	0.29460	1.06521	128	0	0.0000
MOL.1368	0.30215	0.88625	148	0	0.0000
MOL.137	0.29497	0.86869	61	31	50.8197
MOL.1371	0.32067	0.55769	40	35	87.5000
MOL.1372	0.32002	0.99684	2033	0	0.0000
MOL.1373	0.31642	1.02878	2384	0	0.0000
MOL.1375	0.49170	0.99618	295	0	0.0000
MOL.1376	0.32329	0.82115	90	75	83.3333
MOL.138	0.33218	0.98876	1605	100	6.2305
MOL.1382	0.32553	0.71757	45	37	82.2222
MOL.1391	0.33466	0.79339	139	136	97.8417
MOL.1392	0.30722	0.67816	149	144	96.6443
MOL.1399	0.30272	0.62247	36	0	0.0000
MOL.140	0.26644	0.64335	51	47	92.1569
MOL.1407	0.28507	0.87215	47	0	0.0000
MOL.1408	0.31791	0.58759	108	100	92.5926
MOL.141	0.30658	0.64304	22	19	86.3636
MOL.1410	0.45981	1.03667	62	0	0.0000
MOL.1412	0.31920	0.83781	104	0	0.0000
MOL.1415	0.39298	1.37790	178	0	0.0000
MOL.1416	0.28965	0.70693	32	29	90.6250
MOL.1426	0.34428	0.95709	112	96	85.7143
MOL.1429	0.33699	0.74612	143	129	90.2098
MOL.1433	0.42965	0.98633	35	34	97.1429
MOL.1435	0.33787	0.66846	222	184	82.8829
MOL.1436	0.33734	0.67667	94	79	84.0426
MOL.1438	0.32308	0.84487	120	102	85.0000
MOL.1444	0.33401	0.64511	144	121	84.0278
MOL.1447	0.35110	0.75391	246	229	93.0894
MOL.1448	0.30985	1.08443	55	54	98.1818
MOL.145	0.31837	0.81898	60	36	60.0000
MOL.1452	0.34799	0.87596	410	30	7.3171
MOL.1454	0.32304	0.45435	44	44	100.0000
MOL.1457	0.34732	0.76098	121	106	87.6033
MOL.1458	0.31878	0.97509	5810	2	0.0344
MOL.1462	0.31246	0.81165	64	63	98.4375
MOL.1463	0.30896	0.69147	147	130	88.4354
MOL.149	0.30496	0.77122	142	121	85.2113
MOL.15	0.26375	0.79629	36	27	75.0000
MOL.150	0.33232	1.00747	549	0	0.0000
MOL.153	0.33056	0.99092	345	56	16.2319
MOL.161	0.29573	0.83388	177	0	0.0000
MOL.168	0.32014	1.06667	24	23	95.8333
MOL.171	0.35902	0.67648	248	206	83.0645
MOL.172	0.31469	0.91923	985	115	11.6751
MOL.176	0.31043	0.96431	397	0	0.0000
MOL.177	0.31712	0.94123	551	0	0.0000
MOL.18	0.33756	0.49427	25	17	68.0000
MOL.181	0.37588	0.77259	31	14	45.1613
MOL.182	0.35884	0.66057	96	95	98.9583
MOL.186	0.28908	1.08819	181	0	0.0000
MOL.187	0.33312	1.00523	420	0	0.0000
MOL.19	0.29196	1.28595	22	8	36.3636
MOL.196	0.33177	0.69896	58	56	96.5517
MOL.197	0.34356	0.93737	107	100	93.4579
MOL.198	0.33617	0.79977	31	17	54.8387
MOL.2	0.33890	0.87398	79	0	0.0000
MOL.20	0.34483	0.69465	50	37	74.0000
MOL.202	0.34996	0.78365	359	347	96.6574
MOL.203	0.32000	1.37437	29	29	100.0000
MOL.204	0.37687	0.81650	215	211	98.1395
MOL.205	0.31053	0.81790	67	61	91.0448
MOL.207	0.33242	0.78214	209	199	95.2153
MOL.21	0.33670	0.55991	77	51	66.2338
MOL.210	0.32745	0.72908	113	108	95.5752
MOL.212	0.31823	0.97875	765	0	0.0000
MOL.214	0.33396	0.93711	105	0	0.0000
MOL.22	0.33603	0.84414	239	205	85.7741
MOL.222	0.46264	1.07710	48	0	0.0000
MOL.224	0.31477	1.08896	2110	0	0.0000
MOL.226	0.31830	0.96139	118	0	0.0000
MOL.228	0.31988	0.99960	2531	0	0.0000
MOL.231	0.30229	0.66414	123	95	77.2358
MOL.232	0.31473	0.67788	80	57	71.2500
MOL.233	0.31005	0.76974	24	22	91.6667
MOL.234	0.32668	1.01575	936	77	8.2265
MOL.238	0.32501	0.95692	365	178	48.7671
MOL.24	0.32838	0.71471	186	150	80.6452
MOL.240	0.34725	0.82454	574	531	92.5087
MOL.241	0.31984	0.78117	264	210	79.5455
MOL.247	0.32276	0.68953	90	72	80.0000
MOL.25	0.33947	0.68076	55	53	96.3636
MOL.250	0.29980	0.57310	44	43	97.7273
MOL.251	0.34645	0.80234	72	48	66.6667
