chrom	start	end	gene	p
NC_037646.1	2866590	2866746	rna-NM_001170973.1	1.699e-211
NC_037646.1	2865828	2866045	rna-NM_001170973.1	7.924e-209
NC_037652.1	5676571	5676671	rna-XM_006563359.3	5.253e-208
NC_037653.1	4519267	4519350	rna-NM_001011613.1	3.213e-192
NC_037646.1	2865111	2865186	rna-NM_001170973.1	2.092e-182
NC_037639.1	14389774	14389874	rna-XM_006568690.3	3.966e-144
NC_037641.1	4486489	4486786	rna-NM_001085345.1	7.477e-129
NC_037643.1	2070083	2070106	rna-NM_001040258.1	4.422e-112
NC_037639.1	11836626	11836745	rna-XR_411131.3	8.809e-105
NC_037653.1	4519595	4519678	rna-NM_001011613.1	9.900e-77
NC_037645.1	1191871	1191944	rna-XM_026442086.1	6.640e-69
NC_037639.1	14386854	14386954	rna-XM_006568684.3	5.219e-64
NC_037647.1	10981065	10982270	rna-XM_397488.7	3.734e-59
NC_037639.1	14386005	14386105	rna-XM_006568683.3	1.509e-51
NC_037638.1	1000333	1000447	rna-XM_006557359.3	4.676e-51
NC_037641.1	4473328	4473729	rna-XR_407984.2	2.004e-39
NC_037647.1	12052586	12052642	rna-XM_026443164.1	3.420e-38
NC_037653.1	4519758	4519841	rna-NM_001011613.1	4.923e-31
NC_037640.1	9458654	9458780	rna-NM_001011563.1	4.402e-30
NC_037649.1	8507282	8507429	rna-XM_006565240.3	3.149e-28
NC_037647.1	9442646	9442880	rna-XM_026443229.1	3.193e-28
NC_037649.1	8507963	8508214	rna-XM_006565240.3	1.216e-27
NC_037641.1	9934675	9934751	rna-XR_410409.3	1.622e-27
NC_037640.1	9458236	9458571	rna-NM_001011563.1	1.864e-27
NC_037648.1	12932338	12932511	rna-XM_006566391.3	4.952e-26
NC_037640.1	9457726	9457904	rna-NM_001011563.1	1.084e-25
NC_037640.1	9457984	9458161	rna-NM_001011563.1	1.819e-25
NC_037638.1	4401819	4402048	rna-XM_006561914.3	2.200e-25
NC_037641.1	4456442	4456810	rna-NM_001174145.1	7.550e-25
NC_037648.1	12931700	12932253	rna-XM_006566391.3	9.350e-25
NC_037648.1	12931428	12931578	rna-XM_006566391.3	1.345e-24
NC_037653.1	4519921	4520004	rna-NM_001011613.1	1.428e-24
NC_037640.1	9457414	9457611	rna-NM_001011563.1	2.272e-24
NC_037649.1	8508488	8508786	rna-XM_006565240.3	4.454e-24
NC_037649.1	8509168	8509375	rna-XM_006565240.3	2.586e-23
NC_037649.1	8508488	8508814	rna-XM_026444143.1	2.631e-23
NC_037649.1	8508488	8508690	rna-XM_016915420.2	2.819e-23
NC_037638.1	4401347	4401725	rna-XM_006561914.3	3.643e-23
NC_037648.1	13029809	13029939	rna-XM_623720.5	4.064e-23
NC_037646.1	8754823	8755126	rna-XM_001120774.5	7.157e-23
NC_037640.1	9457029	9457326	rna-NM_001011563.1	1.066e-22
NC_037648.1	13030009	13030121	rna-XM_006566395.2	3.379e-22
NC_037641.1	4456067	4456355	rna-NM_001174145.1	2.885e-21
NC_037647.1	9443428	9443593	rna-XM_026443234.1	8.470e-20
NC_037646.1	7728715	7728750	rna-XM_006561707.3	1.551e-19
NC_037648.1	15968322	15968388	rna-XM_026444113.1	4.512e-19
NC_037648.1	10618900	10618941	rna-XM_026443679.1	1.313e-18
NC_037648.1	12940615	12940774	rna-XM_006566389.3	2.554e-18
NC_037648.1	13003334	13003732	rna-XM_391915.6	5.248e-18
NC_037645.1	11849733	11850088	rna-NM_001110764.1	5.579e-18
NC_037653.1	2687392	2687475	rna-XM_006559410.3	5.643e-18
NC_037653.1	752655	752851	rna-XM_624464.6	3.290e-17
NC_037648.1	12951611	12951932	rna-XM_026443782.1	4.343e-17
NC_037648.1	13004395	13004694	rna-XM_391915.6	5.485e-17
NC_037641.1	12643103	12643238	rna-XM_016911684.2	5.908e-17
NC_037648.1	13004386	13004694	rna-XM_006566394.2	7.308e-17
NC_037648.1	12952027	12952121	rna-XM_391912.6	8.569e-17
NC_037648.1	13003903	13004224	rna-XM_391915.6	9.208e-17
NC_037642.1	12714813	12715215	rna-XM_006569929.3	9.556e-17
NC_037648.1	12952821	12953135	rna-XM_391912.6	9.782e-17
NC_037648.1	12921177	12921517	rna-XM_624820.6	1.026e-16
NC_037651.1	1465425	1465596	rna-XM_006557563.3	1.144e-16
NC_037651.1	1465785	1465964	rna-XM_006557563.3	1.488e-16
NC_037638.1	6525565	6525786	rna-XM_016913285.2	1.877e-16
NC_037653.1	5040605	5040652	rna-XM_026445822.1	4.761e-16
NC_037651.1	1465079	1465338	rna-XM_016916360.2	5.832e-16
NC_037648.1	10618812	10618941	rna-XM_026443680.1	6.270e-16
NC_037651.1	1466047	1466131	rna-XM_006557563.3	8.650e-16
NC_037649.1	5927617	5927919	rna-XM_003250013.4	9.487e-16
NC_037642.1	11434472	11434544	rna-XM_016912262.2	1.171e-15
NC_037647.1	12267394	12267560	rna-NM_001011617.1	1.863e-15
NC_037653.1	2685826	2685906	rna-XM_006559413.3	2.871e-15
NC_037650.1	638098	638310	rna-XM_624295.6	3.409e-15
NC_037641.1	2047080	2047314	rna-XM_026440384.1	3.872e-15
NC_037648.1	12921774	12921902	rna-XM_624820.6	5.283e-15
NC_037640.1	3523	3591	rna-XR_003304343.1	6.257e-15
NC_037642.1	12715338	12715959	rna-XM_006569929.3	9.928e-15
NC_037652.1	1955731	1955836	rna-XM_016916804.2	1.058e-14
NC_037652.1	5677605	5677699	rna-XM_006563358.3	1.058e-14
NC_037640.1	11682740	11683146	rna-XM_016911087.2	1.197e-14
NC_037643.1	5155504	5155864	rna-XM_006561281.3	1.283e-14
NC_037651.1	1466222	1466340	rna-XM_006557563.3	2.263e-14
NC_037648.1	12922096	12922330	rna-XM_624820.6	2.475e-14
NC_037648.1	12928587	12928761	rna-XM_026443784.1	2.694e-14
NC_037650.1	637826	637993	rna-XM_624295.6	2.769e-14
NC_037645.1	8205728	8205803	rna-XM_006564601.3	3.409e-14
NC_037651.1	5054041	5054088	rna-XM_026444943.1	4.504e-14
NC_037643.1	5155799	5155864	rna-XM_006561282.3	6.718e-14
NC_037639.1	14003074	14003127	rna-XM_026439225.1	1.084e-13
NC_037638.1	27487810	27489573	rna-NM_001040255.1	1.421e-13
NC_037643.1	5155504	5155716	rna-XM_006561282.3	2.353e-13
NC_037640.1	11706247	11706347	rna-XM_006568435.3	5.887e-13
NC_037640.1	11705868	11706172	rna-XM_006568435.3	1.039e-12
NC_037648.1	12928004	12928198	rna-XM_026443784.1	1.798e-12
NC_037648.1	12927303	12927548	rna-XM_026443784.1	1.880e-12
NC_037640.1	11705635	11705779	rna-XM_006568435.3	2.005e-12
NC_037645.1	8205129	8205670	rna-XM_006564602.3	2.022e-12
NC_037643.1	15606808	15606885	rna-XM_006570666.3	2.848e-12
NC_037647.1	6380253	6380309	rna-XM_006562835.3	3.111e-12
NC_037652.1	1955360	1955432	rna-XM_016916804.2	3.257e-12
NC_037640.1	11704557	11704725	rna-XM_006568435.3	3.429e-12
NC_037640.1	4573983	4578034	rna-XM_006560497.3	3.801e-12
NC_037640.1	11705334	11705560	rna-XM_006568435.3	5.262e-12
NC_037640.1	11702169	11702595	rna-XM_006568435.3	5.319e-12
NC_037640.1	11704087	11704485	rna-XM_006568435.3	5.768e-12
NC_037640.1	11705034	11705200	rna-XM_006568435.3	5.880e-12
NC_037648.1	12927105	12927196	rna-XM_026443784.1	6.220e-12
NC_037652.1	3715135	3715261	rna-XM_026445377.1	7.166e-12
NC_037652.1	1955556	1955647	rna-XM_016916804.2	9.836e-12
NC_037645.1	12579710	12579880	rna-XM_016913418.2	1.039e-11
NC_037639.1	14003231	14003263	rna-XM_026439225.1	1.326e-11
NC_037645.1	8205891	8206076	rna-XM_006564601.3	1.627e-11
NC_037641.1	5506629	5506666	rna-XM_003249664.4	2.080e-11
NC_037640.1	11700441	11700516	rna-XM_623062.6	2.830e-11
NC_037650.1	633375	633513	rna-XM_624295.6	3.725e-11
NC_037640.1	11687938	11688888	rna-XM_016911087.2	4.094e-11
NC_037640.1	4573983	4578755	rna-XM_006560499.3	4.931e-11
NC_037645.1	11851958	11852294	rna-NM_001110764.1	5.474e-11
NC_037640.1	4573983	4578594	rna-XM_006560498.3	6.545e-11
NC_037642.1	5882447	5883376	rna-XM_006562134.3	6.742e-11
NC_037648.1	13446118	13446174	rna-XM_016914783.2	9.382e-11
NC_037642.1	87468	87590	rna-XM_026440679.1	1.111e-10
NC_037645.1	8205135	8205670	rna-XM_006564601.3	1.159e-10
NC_037650.1	627295	627484	rna-XM_026444611.1	1.522e-10
NC_037649.1	4256992	4257231	rna-XM_396194.7	1.928e-10
NC_037641.1	4479824	4480136	rna-NM_001085344.1	1.930e-10
NC_037638.1	2045101	2045148	rna-XM_003249289.4	2.404e-10
NC_037650.1	2427754	2427794	rna-XM_006557811.3	2.524e-10
NC_037641.1	12641382	12641517	rna-XM_026440184.1	3.333e-10
NC_037652.1	7445727	7445790	rna-XM_016916810.2	4.163e-10
NC_037649.1	4258240	4258576	rna-XM_396194.7	4.846e-10
NC_037640.1	11673454	11673603	rna-XM_001120447.5	5.642e-10
NC_037649.1	4258941	4259084	rna-XM_396194.7	6.146e-10
NC_037649.1	5927239	5927510	rna-XM_003250013.4	7.526e-10
NC_037649.1	8603007	8603185	rna-XM_006565259.3	8.423e-10
NC_037645.1	12578479	12578649	rna-XM_006569796.3	8.734e-10
NC_037652.1	1961139	1961244	rna-NM_001040206.1	1.094e-09
NC_037639.1	15718189	15718344	rna-XM_026438857.1	1.273e-09
NC_037650.1	6010545	6011204	rna-XM_016915781.2	1.325e-09
NC_037650.1	6009276	6009365	rna-XM_016915781.2	1.419e-09
NC_037649.1	4258687	4258858	rna-XM_396194.7	1.673e-09
NC_037652.1	5755889	5756009	rna-XM_392078.7	1.682e-09
NC_037649.1	4257916	4258161	rna-XM_396194.7	1.729e-09
NC_037638.1	22771818	22771944	rna-XM_006571332.3	1.942e-09
NC_037650.1	2427320	2427465	rna-XM_006557809.3	2.113e-09
NC_037652.1	1960949	1961040	rna-NM_001040206.1	2.315e-09
NC_037652.1	1950329	1950401	rna-NM_001040209.1	2.874e-09
NC_037647.1	1067404	1067668	rna-XM_006557794.3	2.897e-09
NC_037649.1	4257308	4257523	rna-XM_396194.7	3.052e-09
NC_037640.1	11683269	11683343	rna-XM_016911084.2	3.571e-09
NC_037640.1	11683266	11683343	rna-XM_016911087.2	3.955e-09
NC_037649.1	8603254	8603440	rna-XM_006565259.3	4.334e-09
NC_037638.1	27487675	27487737	rna-XM_006571702.3	4.513e-09
NC_037645.1	1310349	1310436	rna-XM_006558195.3	4.622e-09
NC_037649.1	4256506	4256660	rna-XM_396194.7	5.520e-09
NC_037638.1	5444414	5444725	rna-XM_026445345.1	6.630e-09
NC_037640.1	11675392	11675579	rna-XM_623932.5	7.322e-09
NC_037639.1	14003074	14003076	rna-XM_026439226.1	7.437e-09
NC_037649.1	4257592	4257781	rna-XM_396194.7	8.114e-09
NC_037650.1	2163936	2164052	rna-XM_026444627.1	8.298e-09
NC_037647.1	8129807	8129911	rna-XM_006565517.3	8.646e-09
NC_037649.1	8605277	8605558	rna-XM_006565259.3	9.215e-09
NC_037646.1	8369030	8369503	rna-XM_016913916.2	1.126e-08
NC_037638.1	26197480	26197653	rna-XM_026446186.1	1.151e-08
NC_037645.1	11865594	11865910	rna-NM_001098717.1	1.218e-08
NC_037641.1	2007530	2007712	rna-XM_026440380.1	1.296e-08
NC_037642.1	5809953	5810204	rna-XM_026440961.1	1.619e-08
NC_037652.1	7020657	7020896	rna-NM_001011629.1	1.814e-08
NC_037646.1	7851326	7851401	rna-XR_409184.3	1.816e-08
NC_037650.1	2163628	2163740	rna-XM_016917190.2	1.998e-08
NC_037648.1	6459832	6460149	rna-XM_006571849.3	2.168e-08
NC_037648.1	8318199	8318393	rna-XM_003250344.4	2.646e-08
NC_037640.1	11676008	11676094	rna-XM_623932.5	2.734e-08
NC_037647.1	1066835	1067017	rna-XM_006557794.3	2.806e-08
NC_037647.1	10001281	10001568	rna-XM_016914362.2	2.941e-08
NC_037640.1	11675107	11675267	rna-XM_623932.5	3.327e-08
NC_037639.1	15716997	15717053	rna-XM_026438857.1	3.480e-08
NC_037647.1	11920088	11920159	rna-XM_026443100.1	3.946e-08
NC_037639.1	9679456	9679686	rna-XM_001120754.5	4.052e-08
NC_037640.1	11675676	11675849	rna-XM_623932.5	4.380e-08
NC_037652.1	6525133	6525254	rna-XM_016916600.2	4.488e-08
