chrom	start	end	gene	n_c	n_k	psi_c	psi_k	dpsi	ncpg_c	meth_c	ncpg_k	meth_k	dmeth	junc_total	psi_112c	psi_114c	psi_115c	psi_131c	psi_136c	psi_138c	psi_187t	psi_196t	psi_198t	psi_205t	psi_212t	psi_214t
NC_037638.1	9779	9827	rna-XM_623972.6	6	6	1.0	1.0	0.0	2	0.0	2	0.0	0.0	3127	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	10913	10994	rna-XM_623972.6	6	6	1.0	1.0	0.0	2	1.8	2	0.0	-1.8	2857	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	11054	11121	rna-XM_623972.6	6	6	1.0	1.0	0.0	2	0.0	2	0.0	0.0	2320	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	12641	13012	rna-XM_006557406.3	6	6	1.0	1.0	0.0	23	1.9087	23	2.3348	0.4260999999999999	1630	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	13126	13632	rna-XM_006557406.3	6	6	0.9990049751243782	1.0	0.0009950248756217528	18	83.3722	18	77.9167	-5.455500000000001	2076	1.0000	1.0000	1.0000	0.9940	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	13941	16474	rna-XM_623949.6	6	6	0.9992101105845181	1.0	0.0007898894154818592	127	1.9472	127	1.3921	-0.5551000000000001	2508	1.0000	1.0000	1.0000	0.9953	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	16567	16784	rna-XM_006557406.3	6	6	1.0	1.0	0.0	11	0.9909	11	0.0	-0.9909	2729	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	13941	15095	rna-XM_006557406.3	6	6	0.9980506822612085	1.0	0.0019493177387914784	66	2.847	66	1.4258	-1.4212	1121	1.0000	1.0000	1.0000	0.9883	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	15180	16474	rna-XM_006557406.3	6	6	0.9988221436984688	1.0	0.0011778563015312216	57	1.0421	57	1.4509	0.40880000000000005	1535	1.0000	1.0000	1.0000	0.9929	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	24470	24574	rna-NM_001242554.1	6	6	1.0	1.0	0.0	2	74.9	2	74.6	-0.30000000000001137	613	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	28635	28798	rna-XM_016917679.2	6	6	1.0	1.0	0.0	3	84.4333	3	89.1	4.666699999999992	6267	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	28879	28961	rna-XM_016917679.2	6	6	1.0	1.0	0.0	1	100.0	0	0.0	-100.0	6009	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	29358	29510	rna-XM_016917679.2	6	6	1.0	1.0	0.0	5	90.78	5	90.26	-0.519999999999996	4742	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
