gene	gc	cpg_oe	n_cpg	n_conf	pct_conf
gene_MP000011	0.36540	0.99207	1608	0	0.0000
gene_MP000052	0.37754	0.50457	61	8	13.1148
gene_MP000115	0.46838	1.18515	763	0	0.0000
gene_MP000121	0.36956	1.03329	866	0	0.0000
gene_MP000147	0.43522	1.09418	686	0	0.0000
gene_MP000151	0.46157	0.39539	46	6	13.0435
gene_MP000180	0.38885	0.99769	620	0	0.0000
gene_MP000262	0.36412	0.59360	41	6	14.6341
gene_MP000268	0.36186	0.63714	75	6	8.0000
gene_MP000323	0.37976	1.26174	170	0	0.0000
gene_MP000410	0.34563	0.96008	235	4	1.7021
gene_MP000495	0.39413	0.90994	371	10	2.6954
gene_MP000498	0.39137	0.98386	888	2	0.2252
gene_MP000556	0.38214	1.01544	811	0	0.0000
gene_MP000606	0.36163	1.07082	236	0	0.0000
gene_MP000630	0.41362	0.74524	178	4	2.2472
gene_MP000640	0.42787	1.11062	692	1	0.1445
gene_MP000667	0.37680	0.93482	164	5	3.0488
gene_MP000730	0.40759	0.95997	448	0	0.0000
gene_MP000731	0.40138	0.90249	273	0	0.0000
gene_MP000740	0.40269	0.96354	34	0	0.0000
gene_MP000994	0.37902	0.96073	133	1	0.7519
gene_MP001004	0.40247	0.90639	66	11	16.6667
gene_MP001040	0.37284	0.66406	44	11	25.0000
gene_MP001278	0.35925	0.94521	71	0	0.0000
gene_MP001280	0.51047	1.25606	339	0	0.0000
gene_MP001306	0.37852	0.95297	534	1	0.1873
gene_MP001354	0.39045	1.06475	31	0	0.0000
gene_MP001367	0.39268	0.91639	185	4	2.1622
gene_MP001388	0.43694	0.84679	96	18	18.7500
gene_MP001390	0.39045	1.06475	42	0	0.0000
gene_MP001403	0.39045	1.06475	490	1	0.2041
gene_MP001409	0.37782	0.98293	142	0	0.0000
gene_MP001412	0.47215	1.08597	566	0	0.0000
gene_MP001570	0.42286	0.92873	82	0	0.0000
gene_MP001585	0.42885	1.00397	387	12	3.1008
gene_MP001595	0.43526	0.98907	48	0	0.0000
gene_MP001596	0.68889	1.29107	193	0	0.0000
gene_MP001607	0.38805	0.96948	84	0	0.0000
gene_MP001611	0.54815	1.04895	39	0	0.0000
gene_MP001615	0.35320	0.93663	28	0	0.0000
gene_MP001631	0.43620	0.89483	130	0	0.0000
gene_MP001632	0.41793	1.00955	162	0	0.0000
gene_MP001638	0.41512	0.80244	72	16	22.2222
gene_MP001639	0.38588	1.18569	1813	0	0.0000
gene_MP001719	0.37173	0.69901	175	7	4.0000
gene_MP001883	0.34699	1.01494	902	0	0.0000
gene_MP001965	0.36948	1.09235	1849	0	0.0000
gene_MP002015	0.40716	0.98087	21	0	0.0000
gene_MP002036	0.35335	1.14698	80	0	0.0000
gene_MP002048	0.42780	1.28673	345	0	0.0000
gene_MP002063	0.43785	0.77486	279	19	6.8100
gene_MP002145	0.37617	0.67356	33	0	0.0000
gene_MP002205	0.39730	0.83113	153	3	1.9608
gene_MP002240	0.34516	0.72577	70	7	10.0000
gene_MP002245	0.45400	1.00329	34	0	0.0000
gene_MP002254	0.35507	0.93565	63	0	0.0000
gene_MP002266	0.37886	1.03917	22	3	13.6364
gene_MP002267	0.39582	0.90565	425	0	0.0000
gene_MP002269	0.37429	1.00197	183	0	0.0000
gene_MP002273	0.39506	1.16611	316	0	0.0000
gene_MP002288	0.38762	0.96317	109	0	0.0000
gene_MP002298	0.40083	1.06778	160	0	0.0000
gene_MP002300	0.42559	1.01344	100	13	13.0000
gene_MP002303	0.37657	1.06819	297	0	0.0000
gene_MP002328	0.38101	1.02059	349	0	0.0000
gene_MP002331	0.37718	1.16742	561	0	0.0000
gene_MP002344	0.39413	1.17192	559	0	0.0000
gene_MP002418	0.39381	0.98935	1173	9	0.7673
gene_MP002419	0.40217	0.98753	48	0	0.0000
gene_MP002427	0.54594	0.91290	65	0	0.0000
gene_MP002449	0.38055	0.68873	129	18	13.9535
gene_MP002661	0.37730	1.04495	554	0	0.0000
gene_MP002670	0.36629	0.77825	43	6	13.9535
gene_MP002688	0.37878	0.95094	224	1	0.4464
gene_MP002698	0.40451	1.16681	146	14	9.5890
gene_MP002723	0.39120	0.77590	62	6	9.6774
gene_MP002739	0.41590	1.07250	37	7	18.9189
gene_MP002749	0.40096	1.24474	462	0	0.0000
gene_MP002753	0.43487	1.14017	235	1	0.4255
gene_MP002754	0.46796	0.76351	53	1	1.8868
gene_MP002933	0.40567	0.97126	141	0	0.0000
gene_MP002936	0.43535	1.00834	542	14	2.5830
gene_MP003059	0.33290	0.59635	25	7	28.0000
gene_MP003072	0.38296	1.10803	184	0	0.0000
gene_MP003090	0.36839	1.09291	239	3	1.2552
gene_MP003167	0.34836	0.88331	66	0	0.0000
gene_MP003168	0.38075	1.05745	159	0	0.0000
gene_MP003222	0.34634	0.98562	295	0	0.0000
gene_MP003284	0.33627	0.94435	101	0	0.0000
gene_MP003361	0.37362	0.84248	204	1	0.4902
gene_MP003476	0.34467	1.00387	234	0	0.0000
gene_MP003480	0.36967	0.80984	86	14	16.2791
gene_MP003506	0.52299	1.01342	87	0	0.0000
gene_MP003507	0.37421	0.94997	454	0	0.0000
gene_MP003510	0.39717	1.01662	167	1	0.5988
gene_MP003516	0.42389	0.73129	139	0	0.0000
gene_MP003560	0.41590	1.07250	138	0	0.0000
gene_MP003582	0.58151	0.95587	110	0	0.0000
gene_MP003584	0.34554	0.40966	20	11	55.0000
gene_MP003593	0.41667	0.69216	40	7	17.5000
gene_MP003596	0.37280	0.89767	182	6	3.2967
gene_MP003607	0.44840	0.83936	20	10	50.0000
gene_MP003613	0.33151	0.99992	153	0	0.0000
gene_MP003667	0.37414	0.69991	25	5	20.0000
gene_MP003693	0.38674	0.58822	25	10	40.0000
gene_MP003696	0.36685	1.17142	1631	0	0.0000
gene_MP003719	0.41847	1.10968	46	0	0.0000
gene_MP003764	0.46173	0.84317	47	4	8.5106
gene_MP003842	0.36978	0.82718	61	2	3.2787
gene_MP003844	0.38487	0.41541	25	11	44.0000
gene_MP003849	0.37948	0.96883	297	0	0.0000
gene_MP003852	0.36503	1.05710	319	12	3.7618
gene_MP003859	0.37915	0.62609	42	13	30.9524
gene_MP003881	0.36389	1.19881	176	0	0.0000
gene_MP003899	0.37349	1.10428	620	0	0.0000
gene_MP003975	0.38820	0.81811	336	22	6.5476
gene_MP003977	0.35054	0.78572	181	2	1.1050
gene_MP003996	0.37495	1.05009	266	0	0.0000
gene_MP004000	0.33926	0.74683	102	3	2.9412
gene_MP004011	0.41667	0.74687	40	0	0.0000
gene_MP004051	0.35975	0.95896	79	0	0.0000
gene_MP004061	0.36339	0.61623	30	2	6.6667
gene_MP004065	0.34536	0.97783	539	0	0.0000
gene_MP004075	0.36664	1.03329	331	12	3.6254
gene_MP004220	0.36251	0.65319	42	1	2.3810
gene_MP004259	0.37516	0.48484	40	5	12.5000
gene_MP004275	0.36619	0.84874	98	0	0.0000
gene_MP004277	0.37256	0.81255	250	0	0.0000
gene_MP004286	0.60779	1.20469	67	0	0.0000
gene_MP004367	0.37049	0.72355	92	3	3.2609
gene_MP004370	0.36088	0.65108	111	3	2.7027
gene_MP004481	0.35349	0.47410	22	3	13.6364
gene_MP004486	0.36938	1.04196	926	0	0.0000
gene_MP004508	0.37643	1.08111	377	0	0.0000
gene_MP004686	0.37464	1.03104	105	0	0.0000
gene_MP004692	0.37756	0.91987	23	0	0.0000
gene_MP004696	0.36448	0.66417	30	11	36.6667
gene_MP004697	0.36366	0.82612	124	15	12.0968
gene_MP004701	0.36370	0.78821	32	3	9.3750
gene_MP004703	0.37896	0.80095	31	2	6.4516
gene_MP004704	0.36035	0.91007	177	0	0.0000
gene_MP004711	0.35391	0.96516	203	0	0.0000
gene_MP004713	0.47795	0.92647	57	0	0.0000
gene_MP004721	0.43987	0.83708	45	0	0.0000
gene_MP004735	0.46709	1.25168	24	0	0.0000
gene_MP004740	0.35959	0.98669	439	0	0.0000
gene_MP005065	0.38620	1.03678	1540	2	0.1299
gene_MP005068	0.40561	1.01323	139	0	0.0000
gene_MP005116	0.36816	1.06994	156	0	0.0000
gene_MP005184	0.62911	1.21872	290	0	0.0000
gene_MP005259	0.41594	1.01901	233	4	1.7167
gene_MP005323	0.49502	0.75170	78	0	0.0000
gene_MP005327	0.37427	1.22271	144	0	0.0000
gene_MP005337	0.34845	0.63155	45	4	8.8889
gene_MP005354	0.37622	0.97725	180	0	0.0000
gene_MP005417	0.39777	1.24717	27	0	0.0000
gene_MP005423	0.38225	1.08261	272	0	0.0000
gene_MP005454	0.37525	1.02720	32	0	0.0000
gene_MP005505	0.37351	1.01329	108	0	0.0000
gene_MP005733	0.39108	1.03614	460	7	1.5217
gene_MP005752	0.38799	0.96874	256	0	0.0000
gene_MP005757	0.39213	1.04115	278	0	0.0000
gene_MP005782	0.41631	1.07049	137	0	0.0000
gene_MP005878	0.36594	1.10125	223	0	0.0000
gene_MP005916	0.36456	0.88246	627	0	0.0000
gene_MP005920	0.34200	1.08866	639	0	0.0000
gene_MP005946	0.36984	1.13505	71	0	0.0000
gene_MP005951	0.33749	1.09673	68	0	0.0000
gene_MP005954	0.41844	0.94119	120	0	0.0000
gene_MP005959	0.39492	1.08840	50	0	0.0000
gene_MP005965	0.36870	1.18109	370	0	0.0000
gene_MP006109	0.38636	1.09593	62	0	0.0000
gene_MP006117	0.39507	0.90920	31	0	0.0000
gene_MP006128	0.36126	1.13825	228	0	0.0000
gene_MP006144	0.33758	0.53981	35	8	22.8571
gene_MP006214	0.37242	1.01649	167	2	1.1976
gene_MP006285	0.41177	0.90332	253	4	1.5810
gene_MP006382	0.34816	0.94865	744	0	0.0000
gene_MP006520	0.33041	0.88728	47	0	0.0000
gene_MP006538	0.43124	0.99286	53	0	0.0000
gene_MP006540	0.39731	1.05026	779	0	0.0000
gene_MP006544	0.60343	1.18575	195	0	0.0000
gene_MP006820	0.35720	0.85267	267	0	0.0000
gene_MP006824	0.35274	0.82716	93	0	0.0000
gene_MP006897	0.36938	1.07847	330	10	3.0303
gene_MP006902	0.37336	1.07218	444	0	0.0000
gene_MP007048	0.36866	1.03323	517	0	0.0000
gene_MP007228	0.65497	1.01277	53	0	0.0000
gene_MP007691	0.65446	1.01249	311	0	0.0000
gene_MP007908	0.45491	1.14398	120	0	0.0000
gene_MP007916	0.42828	0.96956	1047	2	0.1910
gene_MP007935	0.41653	0.93395	55	0	0.0000
gene_MP007953	0.43476	1.03120	609	2	0.3284
gene_MP007993	0.38286	1.06318	441	0	0.0000
gene_MP008005	0.39189	0.31850	31	3	9.6774
gene_MP008007	0.37541	1.03254	69	0	0.0000
gene_MP008011	0.44832	1.12057	1175	10	0.8511
gene_MP008037	0.36945	1.08017	91	0	0.0000
gene_MP008042	0.35845	0.77101	51	0	0.0000
